Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.0052856099648684,0.04773967975502415
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,0.9620830077076696,0.047929198621042356
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.004015743343986,0.05589593517947008
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.9377116974190881,0.05631373233677488
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.9713108505343617,0.059324116223893636
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,0.8428342660039263,0.07115260473616045
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,0.8857034114220061,0.08048861580310786
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.9933912640259119,0.08654563659377308
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.0843205325259133,0.10623791620925184
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,0.9759544382716822,0.06979517928147429
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.0003960411067772,0.0634265749473832
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.8817612863012703,0.05173832074416636
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.846551670597097,0.05294411248156464
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,1.0349383821004874,0.05565540354641714
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,1.0171139016195063,0.048538740824082674
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.1181300057229178,0.051591701866763116
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.0628221532908089,0.04689291625502967
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.1369200971246902,0.05155007367594238
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,0.9737233958728213,0.053234622368048316
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.8462872316899883,0.05998184960897299
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,0.9383760649424758,0.06734235199313698
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,0.7260233648220419,0.07665976602724853
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,0.8860797194312882,0.09517993373663584
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,0.9298171776716592,0.07785603975382455
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,0.9400139594871558,0.06808512351675734
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,0.9626470981860381,0.060673803818004995
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.8465505933900984,0.05051697461896354
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,0.9536461526036555,0.045845419517091174
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,1.081737446079094,0.05364201979983453
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,0.9869620206427839,0.05119459204498428
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,1,0,24,1.0659435969235995,0.053138125319034085
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,2,24,48,1.0461443259596477,0.05147530152327517
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,3,48,72,0.8787152518072034,0.04354248478926154
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,4,72,96,0.9764993869680922,0.05093744719702197
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,5,96,120,0.8849755800059809,0.05627443132341271
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,6,120,144,0.801631376540559,0.061654014541838074
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,7,144,168,0.683033075603704,0.07275444238067372
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,8,168,192,0.6802667639500521,0.07997421738348297
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,9,192,216,0.8315288584365516,0.0741817372824555
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,10,216,240,0.74194897856668,0.058723213291641284
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,11,240,264,0.8322069874923729,0.055103611049211076
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,12,264,288,0.852042197774692,0.06318661608315919
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,13,288,312,0.905235082033645,0.04358000347973543
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,14,312,336,0.8541724501934046,0.04627462928180882
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,15,336,360,1.0508929820487296,0.0530972666569721
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,1,0,24,1.1262856362925138,0.05210172846329936
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,2,24,48,1.23470886514982,0.08171219192854257
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,3,48,72,0.938294226122471,0.0479499580556373
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,4,72,96,0.8998578841224704,0.05478025704204973
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,5,96,120,0.7642862917445313,0.05500546253611837
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,6,120,144,0.8015332278280444,0.0792407846554708
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,7,144,168,0.5650938750040921,0.06920057505915417
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,8,168,192,0.8766734138628771,0.10328734609807308
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,9,192,216,0.717241216469359,0.07727035903863205
