Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9483.0,0.10266543046413577,0.0010752375119200102,1.0473218755904639
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,9979.0,0.10937923907286388,0.0011170800003960592,1.0212907036699232
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9952.0,0.11306170842384008,0.0011535884113375615,1.0203175128161401
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9536.0,0.11383250141349952,0.0011835644056278406,1.0397420692079078
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8126.0,0.10293363681488736,0.0011566209304382153,1.1236569174353048
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5734.0,0.07637914754302913,0.0010197940146071255,1.335173339074794
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4143.0,0.0566709709797933,0.0008898806472774302,1.5702583384264361
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3984.0,0.054837154182211724,0.0008778117900304595,1.6007610225608815
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4297.0,0.05871572686434067,0.0009051761589749988,1.5416247184785032
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5655.0,0.07519263329706909,0.0010108642651418269,1.3443660912208393
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8031.0,0.10174140508789062,0.001149747728770547,1.1300686557034696
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9548.0,0.11401573177776861,0.001184290748428028,1.0387081940028802
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9855.0,0.1125807557307831,0.0011538692742693428,1.0249258559150343
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9866.0,0.10790629360038587,0.0011080068543857016,1.026823197624628
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9340.0,0.1010230895073619,0.0010669463912468253,1.056141122242231
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,5306.0,0.05616750589005713,0.0007888444246492727,1.40444980091045
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,8086.0,0.08257243303630621,0.0009416641233065315,1.1404098058882337
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,10872.0,0.11178038903889484,0.0010972894513941703,0.9816475509065907
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,10642.0,0.11835446456508678,0.0011682298641598002,0.9870602418359593
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,8430.0,0.10271660770578385,0.0011337920743539163,1.1038059956199993
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,5736.0,0.0769534122410253,0.0010252399514456682,1.3322865375150885
