Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.681757,0.000431,2.661877,0.000109,0.285443,0.000030,0.019059,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.862392,0.000503,2.614929,0.000133,0.292555,0.000036,0.024327,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.967777,0.000656,2.587439,0.000170,0.296412,0.000039,0.028348,0.000037
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.035860,0.000787,2.570058,0.000201,0.298513,0.000041,0.033259,0.000044
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.112538,0.000840,2.550748,0.000211,0.300690,0.000041,0.039000,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.669464,0.000922,2.661512,0.000246,0.287687,0.000069,0.024777,0.000050
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.836058,0.000748,2.620005,0.000200,0.292864,0.000053,0.027563,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.942740,0.000773,2.593409,0.000202,0.295885,0.000045,0.031816,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,4.008888,0.000751,2.577124,0.000193,0.297521,0.000040,0.037845,0.000041
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,4.065410,0.000621,2.565025,0.000161,0.297541,0.000033,0.047877,0.000040
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.566087,0.001753,2.685733,0.000404,0.777503,0.000036,0.024144,0.000103
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.705467,0.002195,2.652559,0.000518,0.778433,0.000050,0.033905,0.000110
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.780132,0.002256,2.633931,0.000539,0.779098,0.000049,0.040249,0.000106
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.850885,0.002162,2.616471,0.000522,0.779647,0.000045,0.046751,0.000100
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.950974,0.001587,2.591600,0.000386,0.780416,0.000029,0.058312,0.000078
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.648851,0.001572,2.664947,0.000374,0.778344,0.000035,0.019321,0.000085
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.848948,0.001905,2.617348,0.000462,0.779548,0.000044,0.024564,0.000107
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.950838,0.002420,2.592045,0.000590,0.780319,0.000045,0.029054,0.000133
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.026162,0.002714,2.573253,0.000665,0.780871,0.000044,0.034815,0.000152
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.087434,0.002344,2.558345,0.000573,0.781227,0.000037,0.046730,0.000159
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.648696,0.003729,2.661223,0.000948,0.779311,0.000092,0.026410,0.000195
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.832735,0.002689,2.619962,0.000664,0.779774,0.000065,0.027779,0.000149
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.977222,0.002752,2.585675,0.000679,0.780481,0.000054,0.029820,0.000151
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,4.083416,0.002913,2.560044,0.000718,0.781028,0.000046,0.033666,0.000152
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,4.143049,0.002295,2.546723,0.000580,0.781069,0.000038,0.044807,0.000167
