Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.0146032530760372,0.048172420150722386
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,0.9694783782704066,0.04828648011884909
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.0093107414189992,0.05618481369203059
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.939724564067272,0.05643429668963313
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.9696430755775862,0.05922280058820425
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,0.8387785392718247,0.07081089255312424
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,0.8801830364965016,0.0799879400091181
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.987051755947512,0.08599443573458566
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.0777596436990484,0.10559613395848963
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,0.9715025314516104,0.06947763385474885
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,0.9985891160689883,0.0633125030705072
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.8837194489578137,0.05185257728760573
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.8513161575927279,0.0532350829112516
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,1.0428354263944721,0.0560663651109079
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,1.0260764261564992,0.048965651189465595
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.1025556423272767,0.05087927523054689
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.0507579701967384,0.04634410058577865
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.1273791798590538,0.0511091468178087
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,0.9714651730932025,0.05311026079680144
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.8493342997872326,0.06019795518203683
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,0.945476049554242,0.06785230607201197
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,0.7328994135175719,0.07738443571496591
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,0.8949166083113872,0.09612764135847979
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,0.9387253204385159,0.07860114557856333
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,0.9472873691676186,0.06861122259700944
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,0.9661001360684506,0.0608903706137727
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.8447173919007596,0.05040606170826811
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,0.945544931083086,0.04544972490436803
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,1.0671516984643923,0.052927174248957674
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,0.9739290240805695,0.05050858780367878
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,1,0,24,1.036222628186663,0.051625181626978836
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,2,24,48,1.0214083159851528,0.050263272405891714
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,3,48,72,0.8647834157050607,0.04283633665720847
