Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.666712,0.000434,2.665549,0.000109,0.284997,0.000029,0.019574,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.837905,0.000521,2.621359,0.000137,0.291541,0.000036,0.025560,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.934512,0.000675,2.596313,0.000175,0.294995,0.000039,0.029776,0.000038
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.998734,0.000801,2.579931,0.000206,0.297012,0.000042,0.034424,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.080314,0.000872,2.559205,0.000222,0.299521,0.000044,0.039569,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.653672,0.000929,2.665461,0.000246,0.287142,0.000067,0.025612,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.798720,0.000775,2.629551,0.000205,0.291500,0.000051,0.029647,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.873713,0.000788,2.611009,0.000205,0.293513,0.000044,0.035484,0.000043
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.903958,0.000735,2.603794,0.000189,0.294078,0.000038,0.043187,0.000039
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.937627,0.000623,2.597573,0.000161,0.293363,0.000031,0.052937,0.000035
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.537716,0.001735,2.692099,0.000402,0.777397,0.000034,0.024319,0.000105
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.673791,0.002262,2.659909,0.000535,0.778268,0.000048,0.034549,0.000114
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.740976,0.002333,2.643119,0.000557,0.778884,0.000048,0.041098,0.000111
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.800691,0.002265,2.628462,0.000546,0.779336,0.000044,0.047924,0.000105
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.873243,0.001645,2.610440,0.000400,0.779914,0.000029,0.060928,0.000084
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.608229,0.001610,2.674075,0.000385,0.778203,0.000034,0.021031,0.000092
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.765823,0.002160,2.636715,0.000521,0.779138,0.000041,0.028648,0.000118
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.830981,0.002660,2.620827,0.000646,0.779572,0.000044,0.034493,0.000141
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.870648,0.002865,2.611049,0.000699,0.779849,0.000044,0.041572,0.000157
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,3.869684,0.002323,2.611604,0.000567,0.779758,0.000035,0.058404,0.000143
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.600713,0.003859,2.672596,0.000983,0.778992,0.000086,0.028842,0.000200
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.724635,0.003003,2.644976,0.000732,0.779278,0.000058,0.033227,0.000154
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.789642,0.003006,2.629736,0.000727,0.779560,0.000047,0.039011,0.000147
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.796789,0.002794,2.628317,0.000678,0.779497,0.000041,0.047351,0.000135
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.765070,0.001937,2.636603,0.000471,0.779142,0.000030,0.063802,0.000110
