Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.773933616452133,0.05379775559124669
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.8891101667788295,0.060426069292637656
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.9945751538709057,0.06810406314987398
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.8996297699530983,0.05868665395685094
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.9636197598934357,0.06259138824637173
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.8803617488871994,0.05718106203825724
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,0.9735627870531788,0.05930254910218045
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.9711447742561148,0.07391527008609373
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,0.997043234510341,0.0583407789150829
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.9356173839719204,0.05987622988002376
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.9277337426774954,0.06038625072368276
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,1.0129645719307934,0.0641857748546292
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.9322204270782718,0.07057016670886451
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,0.9850066784844996,0.06472162247399822
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.9648842446822579,0.06406898662868762
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,1,0,24,0.6861193097940754,0.06965526635647006
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,2,24,48,0.9211694465147475,0.06467280005252536
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,3,48,72,1.0215186879207687,0.0701057367263782
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,4,72,96,0.8747172974595329,0.07509065556983636
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,5,96,120,1.0233680062672563,0.07160823295837139
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,6,120,144,0.9368997173218373,0.06340972250551613
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,7,144,168,0.9491651676960804,0.06372534245912467
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,8,168,192,0.8124118244057214,0.059695952713446535
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,9,192,216,0.8779306428392238,0.06221703878630113
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,10,216,240,0.8601209302591488,0.06102771825895952
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,11,240,264,1.0677911996918683,0.0702807661911655
