Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.672097,0.000440,2.664277,0.000110,0.285120,0.000029,0.019113,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.856586,0.000515,2.616771,0.000135,0.292060,0.000036,0.024586,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.965703,0.000669,2.588658,0.000173,0.295793,0.000039,0.028389,0.000038
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.036803,0.000798,2.570647,0.000205,0.297888,0.000041,0.033169,0.000044
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.119247,0.000842,2.549831,0.000213,0.300277,0.000041,0.038903,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.661891,0.000937,2.663347,0.000249,0.287466,0.000068,0.025205,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.820062,0.000774,2.624161,0.000205,0.292215,0.000051,0.028609,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.910305,0.000796,2.601839,0.000206,0.294627,0.000044,0.033881,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.953541,0.000747,2.591398,0.000192,0.295528,0.000038,0.041438,0.000040
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,4.000189,0.000629,2.581842,0.000163,0.295237,0.000031,0.051160,0.000035
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.533438,0.001775,2.693218,0.000410,0.777339,0.000034,0.023353,0.000105
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.690623,0.002294,2.656374,0.000539,0.778255,0.000049,0.033252,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.774536,0.002331,2.635759,0.000555,0.778927,0.000047,0.039379,0.000112
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.853407,0.002239,2.616560,0.000540,0.779472,0.000043,0.045767,0.000104
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.969172,0.001601,2.588070,0.000392,0.780286,0.000027,0.058402,0.000079
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.606568,0.001660,2.674603,0.000395,0.778155,0.000034,0.020303,0.000092
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.795668,0.002134,2.630065,0.000513,0.779202,0.000041,0.026844,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.891861,0.002604,2.606729,0.000632,0.779809,0.000042,0.031457,0.000137
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.964664,0.002789,2.588962,0.000683,0.780262,0.000041,0.037624,0.000150
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.011560,0.002187,2.577959,0.000538,0.780447,0.000032,0.052967,0.000136
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.605977,0.003920,2.671385,0.000995,0.779015,0.000087,0.028428,0.000201
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.758644,0.002991,2.637245,0.000727,0.779394,0.000058,0.031567,0.000155
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.867830,0.002964,2.611609,0.000717,0.779879,0.000046,0.035570,0.000149
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.934881,0.002769,2.595817,0.000673,0.780149,0.000038,0.042036,0.000135
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.971952,0.001928,2.587669,0.000472,0.780174,0.000027,0.055748,0.000106
