Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.0765841588439842,0.10311417768882132
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,1.137604870436103,0.12916031882450318
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.010674942460797,0.09224188831095116
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.9918182423591815,0.08186311538590628
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.88410921412892,0.07327424614786032
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,1.0700212514100407,0.07460061318095947
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,1.0817066880140256,0.07530189612494657
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.9977877986293865,0.06538108101022316
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.109279531440761,0.07042486308525965
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,1.0309095387512346,0.0727295720854805
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.048591667400183,0.08406111392523627
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,1.0056309014527316,0.08273797425062886
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.8951753651801432,0.08422084088291466
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,0.8944334883326153,0.0957450553002262
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,0.9393133488374574,0.107088993777065
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,0.890531400462248,0.10971800146130184
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.0402705832648431,0.10277640412242552
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,0.9725810741633426,0.10549911990492156
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,1.003169685243516,0.08512306146919824
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.9565720395568912,0.07874714408186197
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,1.0798083991515526,0.06536588732033814
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,1.0554234165897596,0.06958565085769625
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,1.128688366168349,0.07637226408059636
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,1.108864940183664,0.06846701072274508
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,1.0893540775765898,0.06668391702630724
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,1.1885821620572674,0.08109956339934929
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.8736398066713861,0.07640185423681341
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,0.9612058478595481,0.08553698565580237
