Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.029497787858708772,0.02251948566213088
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.21436779023165792,0.07959376714164833
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.22895365490061892,0.16591208061833684
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.39427562728323723,0.1954664553468954
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,1.0246083562556265,0.3093557941429465
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.09497701269766595,0.07192411842936682
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,0.001035108844322268,0.0010368833485228629
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.04693378811943265,0.04024876852720377
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,0.15953979453359923,0.09298287742128644
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.018516176412233815,0.018192704102609942
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.24813677435088258,0.18759613416732426
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,0.05103397833911808,0.04546737002812568
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.05277280157518328,0.04893622046858996
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,0.06102070675620716,0.05133096274656368
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.0673397696830593,0.05070456594711532
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,1,0,24,0.020416715555436712,0.009730384979863425
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,2,24,48,0.015433253810794245,0.00833567274352287
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,3,48,72,0.02813791919133729,0.013859737226635867
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,4,72,96,0.1298754858530574,0.046768526664080455
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,5,96,120,0.031144021259392474,0.01866878546833817
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,6,120,144,0.02539142166519819,0.012015803527130098
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,7,144,168,0.03247506211499529,0.016413034472979163
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,8,168,192,8.945172669504674e-05,8.849483973603523e-05
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,9,192,216,0.000529876547294681,0.0004586142416745221
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,10,216,240,0.24234283245436428,0.05407151327487841
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,11,240,264,0.005981270750789491,0.0035539190870121236
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,12,264,288,0.13470108005567422,0.0525757752943298
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,13,288,312,0.008346006251251033,0.00430161350607927
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,14,312,336,0.0007833798020639048,0.0006331323261382766
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,15,336,360,0.0001871121164962718,0.0001659264184873293
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,1,0,24,0.013774291574314331,0.012584985687407535
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,2,24,48,0.020586235988708176,0.011463647466823816
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,3,48,72,0.002884390191909531,0.0027566393479513678
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,4,72,96,0.031194179601454534,0.016875739099104455
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,5,96,120,0.0008481615890090688,0.0008313422079867884
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,6,120,144,0.023385334494165282,0.016557433374367582
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,7,144,168,0.008399588268441328,0.006266417819956237
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,8,168,192,0.0654782020330322,0.03203930228686807
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,9,192,216,0.015614691811258276,0.010289747837202488
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,10,216,240,0.02462757955457946,0.012865158996134224
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,11,240,264,0.06441572180495733,0.041309848903070115
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,12,264,288,0.045151670815081126,0.025792802234641112
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,13,288,312,0.004551975023702011,0.0037611050168681777
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,14,312,336,0.07730569124557045,0.04341041533737105
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,15,336,360,0.015628116382970535,0.009477479485720898
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,1,0,24,0.038001245521691485,0.022243647148061662
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,2,24,48,0.0003775983555717139,0.00037495873579784756
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,3,48,72,0.0015045131689012585,0.001339040432708843
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,4,72,96,0.0004670394069704408,0.00046756464610349683
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,5,96,120,1.5222374869910186e-05,1.52835383816445e-05
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,6,120,144,0.003582717544937064,0.00270579086599837
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,7,144,168,0.6107367117445422,0.33436194643222017
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,8,168,192,0.0016550267257890894,0.0014017497262042975
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,9,192,216,0.1678449495902043,0.10461404200774078
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,10,216,240,0.04587264720630242,0.03098524559808963
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,11,240,264,0.6970617192545084,0.2725609577200717
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,12,264,288,0.005314387490253272,0.003927513783527676
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,13,288,312,0.07087986631853255,0.046981001581405085
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,14,312,336,0.2707108018294624,0.1415081981213746
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,15,336,360,0.15709342535799567,0.0798567345637828
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,1,0,24,0.24188139076577694,0.1559100911378734
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,2,24,48,0.1679062954421034,0.09198713922602178
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,3,48,72,0.0035593736632577003,0.003517530604954935
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,4,72,96,0.3085385220472855,0.18206448182716198
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,5,96,120,0.0003049616439592082,0.0003049434307359433
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,6,120,144,0.3492856200691329,0.19309713802348097
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,7,144,168,1.8170350325193418,0.5457258937508346
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,8,168,192,0.3844235487050926,0.21385941542714557
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,9,192,216,0.35099606544205153,0.24302097436404957
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,10,216,240,0.17693815668618612,0.10370995496045395
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,11,240,264,0.007631523928646758,0.007365060793035474
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,12,264,288,1.7457136767155093,0.9054158935412332
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,13,288,312,0.12773704460889246,0.07197675458767926
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,14,312,336,0.5745340735737576,0.33073871763900736
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,15,336,360,0.2957138483539459,0.18438848075692765
