Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9483.0,44.15860073613396,41.02638371966886,92.90689250961233
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,9979.0,1.1353951948723333,0.8489269934216539,74.76929594695963
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9952.0,52372.766424353955,52372.51315256721,99.99951640555955
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9536.0,0.5218347701468479,0.3554021393756477,68.10625885960705
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8126.0,227060.76029721313,227051.81714929195,99.99606134150636
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5734.0,18.317234654317392,17.01621333714655,92.89728312311493
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4143.0,4.439158357195274,3.7320878246079636,84.07196870007475
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3984.0,0.25522204096012213,0.1152132272166667,45.14235008200899
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4297.0,0.9190283480816841,0.5744553571693669,62.506815852682365
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5655.0,1.0544540200793668,0.6283637487717623,59.59138443271964
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8031.0,0.2934299386161942,0.14762882142560863,50.31143792682546
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9548.0,5.202223410948347,4.602971667781837,88.48085336155779
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9855.0,5.20120383321456,4.24150635178513,81.54855083161975
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9866.0,0.5385413022268921,0.1970118326794125,36.582492719640975
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9340.0,16.67537113316188,16.103877304904874,96.57282693324592
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,1,0,24,5139.0,7.0237979425105665,3.042511343014106,43.31718207039708
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,2,24,48,7766.0,23.553141640291734,12.347543571233851,52.424189349378494
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,3,48,72,10243.0,140719.88086018385,111637.85213125084,79.3333901711953
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,4,72,96,10026.0,25.21175687156734,18.006744790665742,71.42201506382493
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,5,96,120,7923.0,25.94527148323819,13.544133774044035,52.2027059257952
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,6,120,144,5399.0,61.960960264682996,53.43967714637233,86.24733528675202
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,7,144,168,3893.0,33.01821997349806,27.877774391599353,84.43148786935011
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,8,168,192,3454.0,23.567122911912872,19.703945615984782,83.60776871081151
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,9,192,216,3891.0,11.028992259714753,7.620081348113528,69.09136545454977
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,10,216,240,5343.0,12.375774340247643,9.01146936257366,72.81539817082134
