Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_highepsleft_,5,1,0.1600,0.2360,0.1980,15,180.0000,3.571218,0.003980,2.679701,0.001017,0.778765,0.000086,0.030204,0.000205
Q3p85_W2p62_t0p21_highepsleft_,5,2,0.2360,0.2720,0.2540,15,180.0000,3.662960,0.003222,2.659267,0.000790,0.778985,0.000060,0.036105,0.000162
Q3p85_W2p62_t0p21_highepsleft_,5,3,0.2720,0.3080,0.2900,15,180.0000,3.684527,0.003228,2.654346,0.000788,0.779039,0.000053,0.043620,0.000153
Q3p85_W2p62_t0p21_highepsleft_,5,4,0.3080,0.3540,0.3310,15,180.0000,3.663094,0.002783,2.659960,0.000682,0.778775,0.000047,0.053049,0.000135
Q3p85_W2p62_t0p21_highepsleft_,5,5,0.3540,0.5000,0.4270,15,180.0000,3.654976,0.001904,2.662905,0.000465,0.778471,0.000033,0.068200,0.000105
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.664906,0.000439,2.666206,0.000110,0.284770,0.000029,0.019704,0.000027
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.843567,0.000526,2.620444,0.000138,0.291324,0.000036,0.025242,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.950659,0.000685,2.592806,0.000178,0.295045,0.000039,0.028884,0.000038
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.021495,0.000817,2.574773,0.000210,0.297219,0.000042,0.033362,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.107795,0.000864,2.552886,0.000220,0.299819,0.000043,0.038621,0.000058
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.648029,0.000934,2.667112,0.000246,0.286761,0.000066,0.025944,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.794127,0.000784,2.630955,0.000207,0.291149,0.000051,0.029958,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.873433,0.000803,2.611276,0.000208,0.293334,0.000044,0.035566,0.000043
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.906946,0.000755,2.603207,0.000194,0.294009,0.000038,0.043190,0.000039
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.944869,0.000642,2.595941,0.000166,0.293395,0.000031,0.052791,0.000035
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.533404,0.001780,2.693340,0.000410,0.777309,0.000034,0.023222,0.000108
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.681279,0.002357,2.658665,0.000554,0.778173,0.000049,0.033612,0.000119
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.757304,0.002422,2.639875,0.000576,0.778813,0.000047,0.040000,0.000116
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.828681,0.002362,2.622506,0.000568,0.779305,0.000043,0.046590,0.000108
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.938000,0.001721,2.595744,0.000420,0.780050,0.000028,0.058475,0.000081
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.594184,0.001653,2.677622,0.000393,0.778051,0.000033,0.021657,0.000095
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.758521,0.002240,2.639078,0.000538,0.778926,0.000041,0.028861,0.000120
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.836838,0.002760,2.620074,0.000669,0.779428,0.000043,0.033921,0.000144
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.896103,0.002952,2.605624,0.000720,0.779804,0.000042,0.040356,0.000156
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,3.934695,0.002351,2.596604,0.000575,0.779954,0.000033,0.055395,0.000136
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.587289,0.003915,2.676186,0.000991,0.778797,0.000085,0.029543,0.000200
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.709371,0.003068,2.648978,0.000745,0.779086,0.000057,0.034050,0.000155
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.781534,0.003053,2.632086,0.000737,0.779397,0.000046,0.039522,0.000147
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.806477,0.002822,2.626353,0.000683,0.779446,0.000039,0.047271,0.000132
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.805748,0.001995,2.627461,0.000483,0.779200,0.000027,0.061842,0.000101
