Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
1.3847e-07,8.905e-09,2.1846e-07,0.77793,5.68,12.0,0.198,2.67373,3.6168
1.3579e-07,8.9799e-09,2.1153e-07,0.77793,5.68,36.0,0.198,2.67373,3.6168
1.4855e-07,9.9068e-09,1.9892e-07,0.77793,5.68,60.0,0.198,2.67373,3.6168
1.2566e-07,8.0689e-09,1.8286e-07,0.77793,5.68,84.0,0.198,2.67373,3.6168
1.1108e-07,7.1134e-09,1.6617e-07,0.77793,5.68,108.0,0.198,2.67373,3.6168
8.9345e-08,5.7487e-09,1.5172e-07,0.77793,5.68,132.0,0.198,2.67373,3.6168
9.0297e-08,5.4566e-09,1.4195e-07,0.77793,5.68,156.0,0.198,2.67373,3.6168
8.7946e-08,6.6478e-09,1.3851e-07,0.77793,5.68,180.0,0.198,2.67373,3.6168
9.1455e-08,5.3244e-09,1.4195e-07,0.77793,5.68,204.0,0.198,2.67373,3.6168
9.4523e-08,5.9964e-09,1.5172e-07,0.77793,5.68,228.0,0.198,2.67373,3.6168
1.0837e-07,6.9638e-09,1.6617e-07,0.77793,5.68,252.0,0.198,2.67373,3.6168
1.3664e-07,8.5961e-09,1.8286e-07,0.77793,5.68,276.0,0.198,2.67373,3.6168
1.3676e-07,1.018e-08,1.9892e-07,0.77793,5.68,300.0,0.198,2.67373,3.6168
1.6345e-07,9.9999e-09,2.1153e-07,0.77793,5.68,324.0,0.198,2.67373,3.6168
1.4966e-07,9.7628e-09,2.1846e-07,0.77793,5.68,348.0,0.198,2.67373,3.6168
9.3247e-08,9.3344e-09,3.4363e-07,0.77919,9.01,12.0,0.253,2.63597,3.77112
1.1318e-07,8.0328e-09,3.317e-07,0.77919,9.01,36.0,0.253,2.63597,3.77112
1.1103e-07,7.8787e-09,3.0999e-07,0.77919,9.01,60.0,0.253,2.63597,3.77112
9.4907e-08,8.2126e-09,2.8237e-07,0.77919,9.01,84.0,0.253,2.63597,3.77112
9.6885e-08,7.0428e-09,2.5368e-07,0.77919,9.01,108.0,0.253,2.63597,3.77112
7.9043e-08,5.4711e-09,2.2886e-07,0.77919,9.01,132.0,0.253,2.63597,3.77112
7.4114e-08,5.1197e-09,2.121e-07,0.77919,9.01,156.0,0.253,2.63597,3.77112
6.2426e-08,4.7059e-09,2.0619e-07,0.77919,9.01,180.0,0.253,2.63597,3.77112
6.6401e-08,4.8472e-09,2.121e-07,0.77919,9.01,204.0,0.253,2.63597,3.77112
7.3108e-08,5.329e-09,2.2886e-07,0.77919,9.01,228.0,0.253,2.63597,3.77112
9.9937e-08,6.7861e-09,2.5368e-07,0.77919,9.01,252.0,0.253,2.63597,3.77112
1.0945e-07,9.9593e-09,2.8237e-07,0.77919,9.01,276.0,0.253,2.63597,3.77112
1.3459e-07,9.5725e-09,3.0999e-07,0.77919,9.01,300.0,0.253,2.63597,3.77112
1.1289e-07,8.8853e-09,3.317e-07,0.77919,9.01,324.0,0.253,2.63597,3.77112
1.0812e-07,8.5029e-09,3.4363e-07,0.77919,9.01,348.0,0.253,2.63597,3.77112
1.0911e-07,7.9232e-09,4.5051e-07,0.77971,10.95,12.0,0.289,2.62024,3.83474
1.1193e-07,7.6849e-09,4.3543e-07,0.77971,10.95,36.0,0.289,2.62024,3.83474
1.1015e-07,6.7815e-09,4.0798e-07,0.77971,10.95,60.0,0.289,2.62024,3.83474
9.4197e-08,6.7611e-09,3.7307e-07,0.77971,10.95,84.0,0.289,2.62024,3.83474
8.4745e-08,5.5996e-09,3.3682e-07,0.77971,10.95,108.0,0.289,2.62024,3.83474
7.5818e-08,5.0311e-09,3.0547e-07,0.77971,10.95,132.0,0.289,2.62024,3.83474
7.0155e-08,4.629e-09,2.843e-07,0.77971,10.95,156.0,0.289,2.62024,3.83474
5.8417e-08,5.0136e-09,2.7684e-07,0.77971,10.95,180.0,0.289,2.62024,3.83474
6.1206e-08,4.2904e-09,2.843e-07,0.77971,10.95,204.0,0.289,2.62024,3.83474
7.2163e-08,4.8139e-09,3.0547e-07,0.77971,10.95,228.0,0.289,2.62024,3.83474
8.5284e-08,6.0584e-09,3.3682e-07,0.77971,10.95,252.0,0.289,2.62024,3.83474
1.0667e-07,7.3763e-09,3.7307e-07,0.77971,10.95,276.0,0.289,2.62024,3.83474
9.9455e-08,6.3041e-09,4.0798e-07,0.77971,10.95,300.0,0.289,2.62024,3.83474
1.0103e-07,9.4065e-09,4.3543e-07,0.77971,10.95,324.0,0.289,2.62024,3.83474
1.1341e-07,8.4908e-09,4.5051e-07,0.77971,10.95,348.0,0.289,2.62024,3.83474
7.2885e-08,5.8372e-09,6.0988e-07,0.78009,13.1,12.0,0.331,2.60941,3.87784
8.7048e-08,6.564e-09,5.9124e-07,0.78009,13.1,36.0,0.331,2.60941,3.87784
9.1522e-08,5.9143e-09,5.5732e-07,0.78009,13.1,60.0,0.331,2.60941,3.87784
8.3369e-08,5.7254e-09,5.1418e-07,0.78009,13.1,84.0,0.331,2.60941,3.87784
7.9137e-08,5.138e-09,4.694e-07,0.78009,13.1,108.0,0.331,2.60941,3.87784
6.2329e-08,4.1689e-09,4.3067e-07,0.78009,13.1,132.0,0.331,2.60941,3.87784
5.7844e-08,3.9797e-09,4.0453e-07,0.78009,13.1,156.0,0.331,2.60941,3.87784
6.0328e-08,4.4907e-09,3.9531e-07,0.78009,13.1,180.0,0.331,2.60941,3.87784
5.9585e-08,3.9575e-09,4.0453e-07,0.78009,13.1,204.0,0.331,2.60941,3.87784
7.3214e-08,5.2778e-09,4.3067e-07,0.78009,13.1,228.0,0.331,2.60941,3.87784
