Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
9.9988e-08,6.5833e-09,1.2514e-07,0.77793,5.68,12.0,0.198,2.67373,3.6168
1.153e-07,7.7184e-09,1.3527e-07,0.77793,5.68,36.0,0.198,2.67373,3.6168
1.3031e-07,8.8249e-09,1.3537e-07,0.77793,5.68,60.0,0.198,2.67373,3.6168
1.2379e-07,7.9937e-09,1.3336e-07,0.77793,5.68,84.0,0.198,2.67373,3.6168
1.2605e-07,8.0748e-09,1.2865e-07,0.77793,5.68,108.0,0.198,2.67373,3.6168
1.1527e-07,7.416e-09,1.224e-07,0.77793,5.68,132.0,0.198,2.67373,3.6168
1.255e-07,7.5737e-09,1.17e-07,0.77793,5.68,156.0,0.198,2.67373,3.6168
1.2265e-07,9.2473e-09,1.1488e-07,0.77793,5.68,180.0,0.198,2.67373,3.6168
1.2773e-07,7.4436e-09,1.17e-07,0.77793,5.68,204.0,0.198,2.67373,3.6168
1.1996e-07,7.5856e-09,1.224e-07,0.77793,5.68,228.0,0.198,2.67373,3.6168
1.2678e-07,8.1738e-09,1.2865e-07,0.77793,5.68,252.0,0.198,2.67373,3.6168
1.3572e-07,8.5257e-09,1.3336e-07,0.77793,5.68,276.0,0.198,2.67373,3.6168
1.2119e-07,9.0744e-09,1.3537e-07,0.77793,5.68,300.0,0.198,2.67373,3.6168
1.406e-07,8.7624e-09,1.3527e-07,0.77793,5.68,324.0,0.198,2.67373,3.6168
1.2005e-07,7.8749e-09,1.3458e-07,0.77793,5.68,348.0,0.198,2.67373,3.6168
5.9228e-08,6.0489e-09,1.0707e-07,0.77919,9.01,12.0,0.253,2.63597,3.77112
7.8197e-08,5.5829e-09,1.0964e-07,0.77919,9.01,36.0,0.253,2.63597,3.77112
9.0361e-08,6.4197e-09,1.116e-07,0.77919,9.01,60.0,0.253,2.63597,3.77112
8.5235e-08,7.445e-09,1.1031e-07,0.77919,9.01,84.0,0.253,2.63597,3.77112
9.7375e-08,7.0829e-09,1.044e-07,0.77919,9.01,108.0,0.253,2.63597,3.77112
8.7515e-08,6.0517e-09,9.5466e-08,0.77919,9.01,132.0,0.253,2.63597,3.77112
8.6724e-08,5.9876e-09,8.7387e-08,0.77919,9.01,156.0,0.253,2.63597,3.77112
7.2669e-08,5.4444e-09,8.4139e-08,0.77919,9.01,180.0,0.253,2.63597,3.77112
7.5172e-08,5.501e-09,8.7387e-08,0.77919,9.01,204.0,0.253,2.63597,3.77112
8.0976e-08,5.9056e-09,9.5466e-08,0.77919,9.01,228.0,0.253,2.63597,3.77112
9.787e-08,6.6491e-09,1.044e-07,0.77919,9.01,252.0,0.253,2.63597,3.77112
9.7285e-08,9.0358e-09,1.1031e-07,0.77919,9.01,276.0,0.253,2.63597,3.77112
1.0351e-07,7.3538e-09,1.116e-07,0.77919,9.01,300.0,0.253,2.63597,3.77112
8.0111e-08,6.3407e-09,1.0964e-07,0.77919,9.01,324.0,0.253,2.63597,3.77112
7.1703e-08,5.6826e-09,1.0746e-07,0.77919,9.01,348.0,0.253,2.63597,3.77112
7.5117e-08,5.4107e-09,9.4011e-08,0.77971,10.95,12.0,0.289,2.62024,3.83474
7.9135e-08,5.44e-09,9.6509e-08,0.77971,10.95,36.0,0.289,2.62024,3.83474
8.6099e-08,5.3111e-09,9.9381e-08,0.77971,10.95,60.0,0.289,2.62024,3.83474
8.2511e-08,5.9603e-09,9.8645e-08,0.77971,10.95,84.0,0.289,2.62024,3.83474
8.1031e-08,5.355e-09,9.258e-08,0.77971,10.95,108.0,0.289,2.62024,3.83474
8.0151e-08,5.3077e-09,8.2888e-08,0.77971,10.95,132.0,0.289,2.62024,3.83474
7.4374e-08,4.9244e-09,7.3971e-08,0.77971,10.95,156.0,0.289,2.62024,3.83474
6.2279e-08,5.3445e-09,7.0365e-08,0.77971,10.95,180.0,0.289,2.62024,3.83474
6.4805e-08,4.5166e-09,7.3971e-08,0.77971,10.95,204.0,0.289,2.62024,3.83474
7.5681e-08,5.0408e-09,8.2888e-08,0.77971,10.95,228.0,0.289,2.62024,3.83474
8.1422e-08,5.7834e-09,9.258e-08,0.77971,10.95,252.0,0.289,2.62024,3.83474
9.1618e-08,6.3576e-09,9.8645e-08,0.77971,10.95,276.0,0.289,2.62024,3.83474
7.9133e-08,5.0461e-09,9.9381e-08,0.77971,10.95,300.0,0.289,2.62024,3.83474
6.4805e-08,6.2347e-09,9.6509e-08,0.77971,10.95,324.0,0.289,2.62024,3.83474
7.6522e-08,5.7842e-09,9.3657e-08,0.77971,10.95,348.0,0.289,2.62024,3.83474
5.2037e-08,4.1166e-09,8.1049e-08,0.78009,13.1,12.0,0.331,2.60941,3.87784
6.1847e-08,4.6258e-09,8.3758e-08,0.78009,13.1,36.0,0.331,2.60941,3.87784
6.9582e-08,4.5546e-09,8.73e-08,0.78009,13.1,60.0,0.331,2.60941,3.87784
7.1112e-08,4.8444e-09,8.7101e-08,0.78009,13.1,84.0,0.331,2.60941,3.87784
7.2968e-08,4.7343e-09,8.1211e-08,0.78009,13.1,108.0,0.331,2.60941,3.87784
6.0762e-08,4.0491e-09,7.135e-08,0.78009,13.1,132.0,0.331,2.60941,3.87784
5.4142e-08,3.7289e-09,6.2149e-08,0.78009,13.1,156.0,0.331,2.60941,3.87784
5.5299e-08,4.1235e-09,5.8408e-08,0.78009,13.1,180.0,0.331,2.60941,3.87784
5.7539e-08,3.8184e-09,6.2149e-08,0.78009,13.1,204.0,0.331,2.60941,3.87784
6.9959e-08,5.0356e-09,7.135e-08,0.78009,13.1,228.0,0.331,2.60941,3.87784
8.2422e-08,5.3126e-09,8.1211e-08,0.78009,13.1,252.0,0.331,2.60941,3.87784
8.3505e-08,5.2294e-09,8.7101e-08,0.78009,13.1,276.0,0.331,2.60941,3.87784
7.0672e-08,4.6147e-09,8.73e-08,0.78009,13.1,300.0,0.331,2.60941,3.87784
6.5992e-08,4.8405e-09,8.3758e-08,0.78009,13.1,324.0,0.331,2.60941,3.87784
6.0752e-08,5.7845e-09,8.0445e-08,0.78009,13.1,348.0,0.331,2.60941,3.87784
3.7235e-08,3.4431e-09,6.0096e-08,0.78016,17.42,12.0,0.427,2.60025,3.91888
4.7837e-08,2.7908e-09,6.2294e-08,0.78016,17.42,36.0,0.427,2.60025,3.91888
5.61e-08,2.8706e-09,6.5925e-08,0.78016,17.42,60.0,0.427,2.60025,3.91888
6.2238e-08,2.8747e-09,6.6324e-08,0.78016,17.42,84.0,0.427,2.60025,3.91888
5.8927e-08,2.8368e-09,6.1639e-08,0.78016,17.42,108.0,0.427,2.60025,3.91888
5.5131e-08,2.6299e-09,5.3311e-08,0.78016,17.42,132.0,0.427,2.60025,3.91888
4.2569e-08,2.6146e-09,4.5405e-08,0.78016,17.42,156.0,0.427,2.60025,3.91888
4.1146e-08,2.7181e-09,4.2173e-08,0.78016,17.42,180.0,0.427,2.60025,3.91888
4.9136e-08,2.727e-09,4.5405e-08,0.78016,17.42,204.0,0.427,2.60025,3.91888
5.0836e-08,2.4951e-09,5.3311e-08,0.78016,17.42,228.0,0.427,2.60025,3.91888
6.0946e-08,2.9702e-09,6.1639e-08,0.78016,17.42,252.0,0.427,2.60025,3.91888
6.3724e-08,2.9233e-09,6.6324e-08,0.78016,17.42,276.0,0.427,2.60025,3.91888
5.4997e-08,2.7748e-09,6.5925e-08,0.78016,17.42,300.0,0.427,2.60025,3.91888
5.299e-08,2.9924e-09,6.2294e-08,0.78016,17.42,324.0,0.427,2.60025,3.91888
4.471e-08,3.5497e-09,5.9074e-08,0.78016,17.42,348.0,0.427,2.60025,3.91888
