Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
1.1161e-07,5.4043e-09,9.0299e-08,0.28688,5.68,12.0,0.198,2.67373,3.6168
9.821e-08,4.9648e-09,8.6734e-08,0.28688,5.68,36.0,0.198,2.67373,3.6168
8.6591e-08,4.9801e-09,8.0236e-08,0.28688,5.68,60.0,0.198,2.67373,3.6168
6.935e-08,4.2995e-09,7.1951e-08,0.28688,5.68,84.0,0.198,2.67373,3.6168
6.2601e-08,3.7819e-09,6.3324e-08,0.28688,5.68,108.0,0.198,2.67373,3.6168
4.5995e-08,4.0253e-09,5.5841e-08,0.28688,5.68,132.0,0.198,2.67373,3.6168
4.4533e-08,4.1595e-09,5.0779e-08,0.28688,5.68,156.0,0.198,2.67373,3.6168
4.9045e-08,4.326e-09,4.8992e-08,0.28688,5.68,180.0,0.198,2.67373,3.6168
5.5875e-08,5.5005e-09,5.0779e-08,0.28688,5.68,204.0,0.198,2.67373,3.6168
5.4656e-08,3.967e-09,5.5841e-08,0.28688,5.68,228.0,0.198,2.67373,3.6168
6.2781e-08,4.1144e-09,6.3324e-08,0.28688,5.68,252.0,0.198,2.67373,3.6168
6.7934e-08,4.0262e-09,7.1951e-08,0.28688,5.68,276.0,0.198,2.67373,3.6168
7.702e-08,4.8758e-09,8.0236e-08,0.28688,5.68,300.0,0.198,2.67373,3.6168
1.0552e-07,5.6609e-09,8.6734e-08,0.28688,5.68,324.0,0.198,2.67373,3.6168
1.1251e-07,5.4847e-09,9.0299e-08,0.28688,5.68,348.0,0.198,2.67373,3.6168
1.313e-07,6.3801e-09,1.4241e-07,0.2914,9.01,12.0,0.253,2.63597,3.77112
1.1633e-07,5.4304e-09,1.3622e-07,0.2914,9.01,36.0,0.253,2.63597,3.77112
1.0914e-07,5.1877e-09,1.2494e-07,0.2914,9.01,60.0,0.253,2.63597,3.77112
7.8185e-08,4.4971e-09,1.1057e-07,0.2914,9.01,84.0,0.253,2.63597,3.77112
5.7024e-08,4.3043e-09,9.5614e-08,0.2914,9.01,108.0,0.253,2.63597,3.77112
5.8037e-08,4.2918e-09,8.2653e-08,0.2914,9.01,132.0,0.253,2.63597,3.77112
3.5371e-08,4.2222e-09,7.3889e-08,0.2914,9.01,156.0,0.253,2.63597,3.77112
4.6026e-08,5.0801e-09,7.0796e-08,0.2914,9.01,180.0,0.253,2.63597,3.77112
4.995e-08,4.3824e-09,7.3889e-08,0.2914,9.01,204.0,0.253,2.63597,3.77112
5.3883e-08,4.1799e-09,8.2653e-08,0.2914,9.01,228.0,0.253,2.63597,3.77112
6.3796e-08,4.2908e-09,9.5614e-08,0.2914,9.01,252.0,0.253,2.63597,3.77112
6.6391e-08,4.2323e-09,1.1057e-07,0.2914,9.01,276.0,0.253,2.63597,3.77112
9.0487e-08,4.5313e-09,1.2494e-07,0.2914,9.01,300.0,0.253,2.63597,3.77112
1.1864e-07,6.1332e-09,1.3622e-07,0.2914,9.01,324.0,0.253,2.63597,3.77112
1.2222e-07,6.4463e-09,1.4241e-07,0.2914,9.01,348.0,0.253,2.63597,3.77112
1.2014e-07,5.9999e-09,1.8595e-07,0.29325,10.95,12.0,0.289,2.62024,3.83474
1.1108e-07,5.5244e-09,1.781e-07,0.29325,10.95,36.0,0.289,2.62024,3.83474
8.5961e-08,4.2066e-09,1.638e-07,0.29325,10.95,60.0,0.289,2.62024,3.83474
7.7603e-08,4.1003e-09,1.4557e-07,0.29325,10.95,84.0,0.289,2.62024,3.83474
6.1236e-08,3.918e-09,1.2661e-07,0.29325,10.95,108.0,0.289,2.62024,3.83474
5.1326e-08,3.9445e-09,1.1018e-07,0.29325,10.95,132.0,0.289,2.62024,3.83474
4.009e-08,4.2444e-09,9.9073e-08,0.29325,10.95,156.0,0.289,2.62024,3.83474
3.6317e-08,4.3678e-09,9.5152e-08,0.29325,10.95,180.0,0.289,2.62024,3.83474
4.1034e-08,4.0006e-09,9.9073e-08,0.29325,10.95,204.0,0.289,2.62024,3.83474
4.5249e-08,3.6249e-09,1.1018e-07,0.29325,10.95,228.0,0.289,2.62024,3.83474
5.74e-08,3.8302e-09,1.2661e-07,0.29325,10.95,252.0,0.289,2.62024,3.83474
6.806e-08,5.1163e-09,1.4557e-07,0.29325,10.95,276.0,0.289,2.62024,3.83474
8.4278e-08,4.1611e-09,1.638e-07,0.29325,10.95,300.0,0.289,2.62024,3.83474
8.8759e-08,4.8559e-09,1.781e-07,0.29325,10.95,324.0,0.289,2.62024,3.83474
1.168e-07,6.0899e-09,1.8595e-07,0.29325,10.95,348.0,0.289,2.62024,3.83474
1.0881e-07,5.2731e-09,2.4978e-07,0.2946,13.1,12.0,0.331,2.60941,3.87784
