Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.7575985729769394,0.0526025217286001
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.8736492303116801,0.05944870348077089
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.9871320604254263,0.06765684198724424
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.9025334819027692,0.05887811811672013
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.9724786298527944,0.06313416764170039
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.8903441932006474,0.05779328111073378
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,0.984170516796548,0.05989839438330574
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.9822190264401526,0.07470327033161378
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,1.007328105070545,0.05890533037816912
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.9459561561263948,0.060497534862178015
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.9365459698300146,0.06093454293560609
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,1.0158778218780946,0.06437520745097457
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.9255580901061561,0.07011446559548513
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,0.9687205469936977,0.06372361416835197
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.9405468238593131,0.06252482122260869
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,1,0,24,0.6886880349333333,0.0701424024425029
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,2,24,48,0.9343687686597741,0.06569663634379072
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,3,48,72,1.0414655300429432,0.0715274808399686
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,4,72,96,0.8863284333919703,0.07609267420177274
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,5,96,120,1.0245589902307632,0.07168881759283653
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,6,120,144,0.9253742247840298,0.06262061268986718
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,7,144,168,0.9286634592935893,0.062347023453425916
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,8,168,192,0.7917171578693816,0.05818785505094493
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,9,192,216,0.8594337454464293,0.06087149260626707
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,10,216,240,0.850334786457326,0.060324480343580664
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,11,240,264,1.0699858298551126,0.07041354962958782
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,12,264,288,1.0136411401752559,0.09144404444348714
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,13,288,312,1.2170636033207196,0.0841831086582162
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,14,312,336,0.9035743441655794,0.07120442588121428
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,15,336,360,0.8422882348579156,0.06522727367289245
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,1,0,24,1.0865775799050523,0.08117279662872116
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,2,24,48,1.0433041147922573,0.07482067117624239
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,3,48,72,1.1352517965872546,0.07257900978125889
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,4,72,96,1.0252669311439695,0.07612212731055616
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,5,96,120,0.9760286460861921,0.06632505005178496
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,6,120,144,0.9498663594134529,0.06433238940699065
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,7,144,168,0.894734711699884,0.06074623445796727
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,8,168,192,0.7731393912338251,0.06710245082632871
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,9,192,216,0.7707818308469259,0.05537167109510983
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,10,216,240,0.8993930546573485,0.061332770408578596
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,11,240,264,0.9623842572559074,0.07040417169104651
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,12,264,288,1.1365095769106408,0.08049818085757453
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,13,288,312,0.9880005539228047,0.06601920362358353
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,14,312,336,0.8329246328097005,0.0856109917444518
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,15,336,360,1.046422864941881,0.08405338949007811
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,1,0,24,0.9258223099047251,0.07375212324024286
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,2,24,48,1.0450543171765312,0.07922538846870544
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,3,48,72,1.081933269475631,0.07079401046655671
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,4,72,96,0.9485996762947966,0.06551471578972114
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,5,96,120,0.947336368908184,0.06187262392633579
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,6,120,144,0.7819696651037585,0.05186313057710472
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,7,144,168,0.7076506854057409,0.048866064687373194
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,8,168,192,0.7353885856977297,0.0549371006412413
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,9,192,216,0.7472454647602985,0.04955689362984079
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,10,216,240,0.8733709176268057,0.06293554225255077
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,11,240,264,1.0837363080249411,0.06974425550338526
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,12,264,288,1.1155099035525686,0.06975370816069267
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,13,288,312,1.0953199512982041,0.07187955488435098
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,14,312,336,1.1059710074425657,0.08173426619454009
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,15,336,360,1.0544927735080418,0.10235188643063192
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,1,0,24,0.9765520465072571,0.09102471793494175
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,2,24,48,1.2464405991180256,0.07339502427379611
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,3,48,72,1.1984585067841027,0.06181456964791708
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,4,72,96,1.101160633643851,0.050529598161981895
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,5,96,120,0.9423376110048964,0.04533982811287896
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,6,120,144,0.8184893595928947,0.039091737991802086
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,7,144,168,0.6314756006503972,0.03894565673073715
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,8,168,192,0.6234526007615846,0.04109275164175847
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,9,192,216,0.7450306286027534,0.04144740868694081
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,10,216,240,0.7582962488039654,0.037238278258647825
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,11,240,264,0.9667292343290037,0.04732874769856122
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,12,264,288,1.1298545374867874,0.051775366315033246
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,13,288,312,1.1749191402256685,0.05971837111622579
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,14,312,336,1.4015409574833269,0.08032792723421314
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,15,336,360,1.1481131852349358,0.09301476430511164
