Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.0818995189214968,0.05131334591359544
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,1.0260296604128984,0.05104892729827284
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.0654243977837623,0.05929810009708689
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.9942533787339483,0.05971097482613366
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,1.045769041712913,0.063873196277923
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,0.9348615621512117,0.0789222267833089
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,0.9996269021530086,0.09084309148164596
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,1.1251802597006129,0.098030029943097
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.221729257849557,0.11970274328003645
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,1.082499497487177,0.07741605603296593
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.0779999388096702,0.0683489601785312
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.934864517338288,0.054862203163654075
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.9008614696469927,0.056325377660090006
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,1.106683589546234,0.05942475734572537
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,1.0936461619268123,0.052189292990733396
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.2990334369808072,0.05998551970490084
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.2138286607279156,0.053442552343411234
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.2662949739902645,0.05747458927038751
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,1.0740347211659096,0.05877610927657244
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.948079689658804,0.067192879794859
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,1.1064125150455384,0.07940474631236467
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,0.8810114743306579,0.09304972332440872
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,1.0858458403877476,0.11666730935987944
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,1.1273112864027965,0.09442395153755573
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,1.1067732241226467,0.08019203784354792
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,1.0776941692471007,0.06797711795448685
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.9325175274479337,0.05571516572641497
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,1.0654228557092036,0.051263723763020505
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,1.2206353918779185,0.06057790155930149
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,1.15450585118334,0.0598239156588719
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,1,0,24,1.3683596377632772,0.06809006256011464
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,2,24,48,1.3131163720550048,0.06463760850370334
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,3,48,72,1.0774678706146628,0.05346352670853746
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,4,72,96,1.1789497429787335,0.06164699691639546
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,5,96,120,1.0711447163758907,0.06813256346361259
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,6,120,144,1.065145740531013,0.0806714630976407
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,7,144,168,0.9198922920046941,0.09798946621106112
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,8,168,192,0.9229447396968615,0.10857907420850457
