Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9483.0,0.10261196463047886,0.001074766683118357,1.0474087373619185
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,9979.0,0.10935850916328446,0.001116904968822288,1.02132424570147
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9952.0,0.11310140397627216,0.0011539428028175037,1.020272748390986
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9536.0,0.11390153895130714,0.0011842095108516582,1.0396782359173455
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8126.0,0.102972157797671,0.0011570197537059416,1.123623878970623
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5734.0,0.0763818559779478,0.0010198279658285062,1.3351704443041297
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4143.0,0.05666560970730767,0.0008897980249838757,1.570261097656779
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3984.0,0.054829646805489296,0.000877692656345533,1.6007629220359347
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4297.0,0.058709627494598654,0.0009050835628300882,1.541627159724965
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5655.0,0.07519536566062618,0.001010898513865417,1.344362787499209
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8031.0,0.10177910306937155,0.001150140682568463,1.1300361743063696
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9548.0,0.1140836396018858,0.001184928093391221,1.0386485718076917
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9855.0,0.11261772874529762,0.0011542011714367733,1.0248840784626172
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9866.0,0.10788490490196061,0.0011078242009342632,1.0268574662423702
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9340.0,0.10097069727937158,0.0010664852137820158,1.056232394663179
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,5306.0,0.05613042793177358,0.0007884115179994353,1.4046062840599538
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,8086.0,0.08255215036163066,0.0009414731835617879,1.1404587033015368
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,10872.0,0.11188277863794142,0.0010981537084233984,0.9815216620397691
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,10642.0,0.11853186276914218,0.0011697752474429143,0.9868867493639407
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,8430.0,0.10281140057999791,0.001134742127616213,1.1037123521464587
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,5736.0,0.07696028640730579,0.0010253231173436657,1.3322755998038132
