Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,0.8318417260430571,0.03937224575132842
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,0.8117422495875807,0.0403155399678337
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,0.8848099062025065,0.04919973610280227
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.8653433450055994,0.05196141377666881
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.9272144581072056,0.05662850667409565
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,0.8227257274420697,0.06945650562000034
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,0.8723462641985719,0.07927770180458758
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.9809298048148911,0.08546408233527181
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.0673422072710717,0.1045777059496574
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,0.9531463520444782,0.06816675680586663
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,0.95558817348069,0.06058261758778283
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.8133927505187062,0.04771809599176705
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.7490089172210818,0.046777656878203414
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,0.8765902637615747,0.04697300678839054
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,0.8381231067983859,0.040009319678302915
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,0.8926227815121358,0.04134625666394678
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,0.8857247947011884,0.03890297807656183
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,0.9920917109786977,0.04493585600897818
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,0.9140729311692207,0.049981023154478846
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.8442723987327228,0.059837204032087234
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,0.9851481029485546,0.07070314128242254
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,0.7816092067736135,0.08253034012172938
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,0.9613369128526315,0.10326956317455525
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,1.000230202652963,0.08376552820981498
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,0.9861800607401371,0.07143739867806254
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,0.9591474063579926,0.06046661558371385
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.794933547391596,0.04744896490302026
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,0.8331826069277427,0.04002358157558851
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,0.8744511527872436,0.043480949187542875
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,0.7994820726087807,0.041420661933576415
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,1,0,24,0.8314602088449566,0.04134862368053989
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,2,24,48,0.8714434223828699,0.043059910593452
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,3,48,72,0.808638579431883,0.039981760170405556
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,4,72,96,0.9784857616365394,0.05108118776494961
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,5,96,120,0.9512533688493531,0.06048569967813968
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,6,120,144,0.9439192577973093,0.0719075679174044
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,7,144,168,0.8257112839310888,0.08795670159079806
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,8,168,192,0.8283141645971509,0.09741104080336739
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,9,192,216,0.9971440176218598,0.08899261114520243
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,10,216,240,0.8568535055666678,0.06781703471002361
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,11,240,264,0.8935794881331571,0.05924376684502464
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,12,264,288,0.8599963625723942,0.06415866798952889
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,13,288,312,0.8331037701835988,0.04009413311634468
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,14,312,336,0.7012041291666989,0.03802591332971881
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,15,336,360,0.8196875434994623,0.041433789485756996
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,1,0,24,0.8201863982752892,0.03803293200545873
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,2,24,48,1.000212546889549,0.06710520089480577
