Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.7582963393870743,0.05267077443541946
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.8740111046677004,0.059478406532655216
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.986577713675752,0.06761473876052321
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.9014582843328048,0.05880539704810436
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.9715559528373763,0.06307527044406662
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.8902557354892224,0.05778743220248321
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,0.9848658769385558,0.05993997433752693
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.9830880795288802,0.07476708320153247
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,1.0079555910227977,0.058942440221393236
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.9458690572985047,0.060491842952409995
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.9356189072838966,0.06087435364516844
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,1.0147721543439014,0.06430312788848205
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.9250246738397144,0.0700716720877097
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,0.9690337288301212,0.06375351525174645
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.9418498510103258,0.06262174633297347
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,1,0,24,0.6910147155371338,0.07044278278018469
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,2,24,48,0.9356850782589323,0.06579854138026547
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,3,48,72,1.0388618572701231,0.0713483227971452
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,4,72,96,0.882333600889669,0.07575416417810178
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,5,96,120,1.0215220013962567,0.07147279690578656
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,6,120,144,0.9250872383940759,0.06260113931464764
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,7,144,168,0.930642212959431,0.06247547729549703
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,8,168,192,0.7941053965717169,0.05835531261638439
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,9,192,216,0.8609255481773578,0.060980922565757927
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,10,216,240,0.8500467252321037,0.060303939342645226
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,11,240,264,1.0664571933142255,0.0701833387389078
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,12,264,288,1.0090157412033254,0.09103974286397817
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,13,288,312,1.2141649495280862,0.08398264828357956
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,14,312,336,0.9046158131675544,0.07129583165763151
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,15,336,360,0.8460879574650367,0.06554569939084137
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,1,0,24,1.0960790056168446,0.08192262406447115
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,2,24,48,1.045413018941978,0.07498638907363346
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,3,48,72,1.1304410293653062,0.07227044535354445
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,4,72,96,1.019202113531347,0.07567501788556415
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,5,96,120,0.9714284617789459,0.06600896258011636
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,6,120,144,0.9494287879707255,0.06430246529277223
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,7,144,168,0.8967951072044827,0.06089124855649294
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,8,168,192,0.7758590144193275,0.06733071229468583
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,9,192,216,0.7729236510899425,0.055520372844799666
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,10,216,240,0.8990288464808375,0.061307777593524
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,11,240,264,0.9583199578757952,0.07010025355801479
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,12,264,288,1.1294553515051398,0.08001484235322279
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,13,288,312,0.9841299120982824,0.06576187202944003
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,14,312,336,0.8336960684312599,0.08574666742725018
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,15,336,360,1.054009826383724,0.084775930214979
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,1,0,24,0.9363680544921211,0.0746310841628345
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,2,24,48,1.047661231457197,0.07944484954555907
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,3,48,72,1.0765294404280121,0.07044892474139411
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,4,72,96,0.9424873686422784,0.06512869921583747
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,5,96,120,0.9437396903695675,0.06161569773456937
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,6,120,144,0.781676055068085,0.05184348101552729
