Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9483.0,0.10162688219442928,0.0010635623263141403,1.0465364117727896
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,9979.0,0.10845902658103453,0.0011068608372978182,1.0205336265588127
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9952.0,0.1124359380106466,0.001146715938337941,1.0198838188456774
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9536.0,0.1135876251697055,0.0011809527701978695,1.0396843568421015
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8126.0,0.10311058250389352,0.0011588854280126168,1.1239248192287699
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5734.0,0.07674846189608499,0.0010251153557812955,1.3356819543423157
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4143.0,0.05702640274598487,0.0008958330731903255,1.5709093157789962
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3984.0,0.05518935515345839,0.0008837861758658811,1.6013707234093302
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4297.0,0.059073160330376635,0.0009110453761987949,1.54223232869821
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5655.0,0.07553720326925395,0.0010158405217167961,1.3448214624730164
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8031.0,0.10192551235881273,0.0011521149017546975,1.1303498752097103
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9548.0,0.11376206447782494,0.001181587995872336,1.038648517232787
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9855.0,0.11192425587242875,0.0011466911373894451,1.0245242449469072
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9866.0,0.10703448436174683,0.0010983065888846865,1.026124052854513
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9340.0,0.10001870718201124,0.0010555381474708875,1.0553407229610043
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,5306.0,0.056636686952419316,0.0007947522549725315,1.403246372161927
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,8086.0,0.08334514674075655,0.0009495893587049181,1.1393457157842644
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,10872.0,0.11266290601941185,0.00110505268868746,0.9808487351613839
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,10642.0,0.11861842505694281,0.0011705278421781588,0.9868010316409499
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,8430.0,0.10234810204113158,0.0011298329242524442,1.1039119453318127
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,5736.0,0.07637553610342228,0.001017726004035376,1.3325287859940445
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,4138.0,0.05766041586157685,0.0009032124231791904,1.5664341120041483
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,3676.0,0.05214330250923007,0.0008664036761371007,1.6615818991973814
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,4118.0,0.05745163695432927,0.0009021750278905068,1.5703208397833532
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,5671.0,0.07532063864975792,0.0010095013718029447,1.3402719226759892
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,8681.0,0.10539628688497925,0.0011466955354591504,1.0879847567216088
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,10412.0,0.11659040374105106,0.0011627908044218903,0.9973297690987204
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,10929.0,0.11382527748798389,0.0011136360116057234,0.9783732016144532
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,8066.0,0.08254664495928689,0.000942182048718948,1.1413935105220143
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,15,336,360,5411.0,0.05822278351662667,0.000809185119252943,1.389808371188341
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,1,0,24,1959.0,0.024542506062505583,0.0005644841800993146,2.3000266503415316
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,2,24,48,3465.0,0.039940487581058885,0.0006973474867645354,1.7459663839838573
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,3,48,72,9143.0,0.09543201797576428,0.0010309338460136458,1.0802808825392958
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,4,72,96,10842.0,0.1206686901565968,0.0011877905371383002,0.984340292081446
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,5,96,120,9033.0,0.11080079952859785,0.0011867394444480994,1.0710567518439251
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,6,120,144,5571.0,0.07667778016158268,0.0010376253356657607,1.3532281887649569
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,7,144,168,3796.0,0.055890709184994496,0.0009141134530099728,1.635537402082909
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,8,168,192,3376.0,0.050865895475542815,0.0008816637011336694,1.733310094889784
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,9,192,216,3868.0,0.056893857579217645,0.0009216615760354166,1.6199667508080589
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,10,216,240,5800.0,0.07997726422321182,0.0010607388622831586,1.326300508757963
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,11,240,264,8960.0,0.10995865506557614,0.0011820201483219257,1.074967811871656
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,12,264,288,10645.0,0.12054423845532829,0.0011961455668858213,0.9922876300131867
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,13,288,312,8873.0,0.0939084494135662,0.0010294019838361257,1.0961761058397543
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,14,312,336,3418.0,0.03964765619697615,0.0006961161916685234,1.7557562248070917
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,15,336,360,1877.0,0.02360439687472659,0.0005533522257252548,2.3442760628962875
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,1,0,24,852.0,0.011514206105886791,0.0004004267368286073,3.477675604780809
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,2,24,48,1362.0,0.01750945631267326,0.0004841667171972771,2.765172764655403
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,3,48,72,5246.0,0.05723759329451426,0.0008216989034622929,1.4355930362659848
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,4,72,96,10075.0,0.1134408381713274,0.0011639051656154266,1.0260019093455606
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,5,96,120,9186.0,0.11358526028788335,0.001208980365691589,1.0643813841931709
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,6,120,144,5327.0,0.07544126494074398,0.0010448630529292556,1.3850020327071035
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,7,144,168,3174.0,0.04900342526424154,0.0008765568336940328,1.7887664565637376
