Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.0059457606389408,0.047772435424676234
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,0.9623040342993701,0.04794078829451552
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.00366564154468,0.055876417163986454
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.9371445510149133,0.05627960247337707
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.9709472907127698,0.05930186722740328
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,0.842804379826059,0.07115007786740817
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,0.885787209995658,0.08049623525186216
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.9935272809943699,0.08655749004992119
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.0844331830736955,0.10624895747981299
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,0.9759189751511685,0.06979263708283459
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.0000254163314644,0.0634030318280785
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.8812372344888569,0.051707536994969945
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.8462746885264919,0.05292677213446798
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,1.0351725933980325,0.0556687631447657
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,1.0178143753453572,0.048572284702113215
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.1198859081375074,0.05167190467188499
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.0632677759745726,0.04691399346397734
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.1359474319358318,0.051506544749071494
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,0.9723261689636379,0.05315829425546028
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.8455069485883839,0.05992642259752741
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,0.938292248296951,0.06733631785759506
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,0.7262252610283143,0.07668104178375053
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,0.8864029150783973,0.09521459453193822
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,0.9300783339897096,0.07787787935346269
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,0.9399324656600739,0.0680792083047993
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,0.9617594864148451,0.060617941405865086
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.8453483254487033,0.05044545639162796
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,0.9528545872955068,0.045807721486953404
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,1.0823810757505101,0.05367328257759859
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,0.9883908688441307,0.051270555597141304
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,1,0,24,1.068607790832889,0.05327519969593985
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,2,24,48,1.0468672112782549,0.051510730235606525
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,3,48,72,0.8777454765590202,0.04349492340502577
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,4,72,96,0.974852181982414,0.05085164799507331
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,5,96,120,0.8840184512974172,0.05621325660593595
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,6,120,144,0.8015647528473984,0.06164842193216158
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,7,144,168,0.6832161595980831,0.07277396168431226
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,8,168,192,0.680507502738684,0.08000245094773972
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,9,192,216,0.8317660818650008,0.07420285765321728
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,10,216,240,0.7418812425749362,0.05871783063216595
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,11,240,264,0.8312988271771101,0.055043692467106796
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,12,264,288,0.8506960641567207,0.06309104079254199
