Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.672147,0.000440,2.664264,0.000110,0.285122,0.000029,0.019108,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.856736,0.000515,2.616734,0.000135,0.292064,0.000036,0.024575,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.965887,0.000669,2.588610,0.000173,0.295799,0.000039,0.028376,0.000038
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.036960,0.000798,2.570606,0.000205,0.297893,0.000041,0.033159,0.000044
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.119351,0.000842,2.549804,0.000213,0.300280,0.000041,0.038897,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.661611,0.000937,2.663426,0.000249,0.287449,0.000068,0.025217,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.819811,0.000775,2.624231,0.000205,0.292201,0.000051,0.028623,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.910068,0.000796,2.601904,0.000206,0.294616,0.000044,0.033894,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.953335,0.000747,2.591453,0.000192,0.295519,0.000038,0.041448,0.000040
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,4.000045,0.000629,2.581881,0.000163,0.295231,0.000031,0.051165,0.000035
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.533581,0.001775,2.693181,0.000410,0.777341,0.000034,0.023349,0.000105
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.690823,0.002293,2.656320,0.000539,0.778258,0.000049,0.033242,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.774763,0.002331,2.635699,0.000555,0.778930,0.000047,0.039369,0.000112
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.853646,0.002238,2.616497,0.000540,0.779475,0.000043,0.045755,0.000104
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.969335,0.001601,2.588028,0.000391,0.780288,0.000027,0.058392,0.000079
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.606558,0.001660,2.674605,0.000395,0.778155,0.000034,0.020300,0.000092
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.795983,0.002134,2.629993,0.000513,0.779203,0.000041,0.026818,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.892390,0.002605,2.606600,0.000632,0.779812,0.000042,0.031420,0.000137
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.965299,0.002789,2.588806,0.000683,0.780267,0.000041,0.037587,0.000150
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.012070,0.002187,2.577833,0.000538,0.780451,0.000032,0.052947,0.000136
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.605318,0.003922,2.671560,0.000995,0.779005,0.000087,0.028458,0.000201
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.757914,0.002992,2.637429,0.000727,0.779386,0.000058,0.031602,0.000155
