Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
1.2964e-07,8.3239e-09,2.1263e-07,0.77793,5.68,12.0,0.198,2.67373,3.6168
1.2856e-07,8.497e-09,2.0671e-07,0.77793,5.68,36.0,0.198,2.67373,3.6168
1.4384e-07,9.5918e-09,1.9594e-07,0.77793,5.68,60.0,0.198,2.67373,3.6168
1.2501e-07,8.0261e-09,1.8224e-07,0.77793,5.68,84.0,0.198,2.67373,3.6168
1.1349e-07,7.265e-09,1.6801e-07,0.77793,5.68,108.0,0.198,2.67373,3.6168
9.3538e-08,6.0169e-09,1.557e-07,0.77793,5.68,132.0,0.198,2.67373,3.6168
9.6145e-08,5.8073e-09,1.4739e-07,0.77793,5.68,156.0,0.198,2.67373,3.6168
9.4123e-08,7.1115e-09,1.4446e-07,0.77793,5.68,180.0,0.198,2.67373,3.6168
9.7251e-08,5.6616e-09,1.4739e-07,0.77793,5.68,204.0,0.198,2.67373,3.6168
9.8922e-08,6.2735e-09,1.557e-07,0.77793,5.68,228.0,0.198,2.67373,3.6168
1.1077e-07,7.1165e-09,1.6801e-07,0.77793,5.68,252.0,0.198,2.67373,3.6168
1.3588e-07,8.5491e-09,1.8224e-07,0.77793,5.68,276.0,0.198,2.67373,3.6168
1.3238e-07,9.8524e-09,1.9594e-07,0.77793,5.68,300.0,0.198,2.67373,3.6168
1.5479e-07,9.4609e-09,2.0671e-07,0.77793,5.68,324.0,0.198,2.67373,3.6168
1.3974e-07,9.1132e-09,2.1263e-07,0.77793,5.68,348.0,0.198,2.67373,3.6168
8.6027e-08,8.5937e-09,3.3132e-07,0.77919,9.01,12.0,0.253,2.63597,3.77112
1.0561e-07,7.4926e-09,3.2151e-07,0.77919,9.01,36.0,0.253,2.63597,3.77112
1.064e-07,7.5486e-09,3.0369e-07,0.77919,9.01,60.0,0.253,2.63597,3.77112
9.4184e-08,8.1496e-09,2.8105e-07,0.77919,9.01,84.0,0.253,2.63597,3.77112
9.9626e-08,7.2426e-09,2.5757e-07,0.77919,9.01,108.0,0.253,2.63597,3.77112
8.4004e-08,5.813e-09,2.3728e-07,0.77919,9.01,132.0,0.253,2.63597,3.77112
8.0633e-08,5.5671e-09,2.2361e-07,0.77919,9.01,156.0,0.253,2.63597,3.77112
6.8542e-08,5.1626e-09,2.1878e-07,0.77919,9.01,180.0,0.253,2.63597,3.77112
7.2063e-08,5.2626e-09,2.2361e-07,0.77919,9.01,204.0,0.253,2.63597,3.77112
7.7597e-08,5.6554e-09,2.3728e-07,0.77919,9.01,228.0,0.253,2.63597,3.77112
1.0278e-07,6.978e-09,2.5757e-07,0.77919,9.01,252.0,0.253,2.63597,3.77112
1.0871e-07,9.8893e-09,2.8105e-07,0.77919,9.01,276.0,0.253,2.63597,3.77112
1.2897e-07,9.1712e-09,3.0369e-07,0.77919,9.01,300.0,0.253,2.63597,3.77112
1.0547e-07,8.2973e-09,3.2151e-07,0.77919,9.01,324.0,0.253,2.63597,3.77112
9.9308e-08,7.8081e-09,3.3132e-07,0.77919,9.01,348.0,0.253,2.63597,3.77112
9.9271e-08,7.2136e-09,4.3309e-07,0.77971,10.95,12.0,0.289,2.62024,3.83474
1.0386e-07,7.1325e-09,4.2102e-07,0.77971,10.95,36.0,0.289,2.62024,3.83474
1.0529e-07,6.4822e-09,3.9908e-07,0.77971,10.95,60.0,0.289,2.62024,3.83474
9.3376e-08,6.7018e-09,3.7121e-07,0.77971,10.95,84.0,0.289,2.62024,3.83474
8.7387e-08,5.7736e-09,3.4232e-07,0.77971,10.95,108.0,0.289,2.62024,3.83474
8.0951e-08,5.3702e-09,3.1739e-07,0.77971,10.95,132.0,0.289,2.62024,3.83474
7.6541e-08,5.0532e-09,3.0057e-07,0.77971,10.95,156.0,0.289,2.62024,3.83474
6.4444e-08,5.5276e-09,2.9465e-07,0.77971,10.95,180.0,0.289,2.62024,3.83474
6.6967e-08,4.6917e-09,3.0057e-07,0.77971,10.95,204.0,0.289,2.62024,3.83474
7.7024e-08,5.1359e-09,3.1739e-07,0.77971,10.95,228.0,0.289,2.62024,3.83474
8.787e-08,6.2423e-09,3.4232e-07,0.77971,10.95,252.0,0.289,2.62024,3.83474
1.0576e-07,7.3124e-09,3.7121e-07,0.77971,10.95,276.0,0.289,2.62024,3.83474
9.5116e-08,6.028e-09,3.9908e-07,0.77971,10.95,300.0,0.289,2.62024,3.83474
9.3982e-08,8.7412e-09,4.2102e-07,0.77971,10.95,324.0,0.289,2.62024,3.83474
1.0324e-07,7.7307e-09,4.3309e-07,0.77971,10.95,348.0,0.289,2.62024,3.83474
6.616e-08,5.3014e-09,5.8573e-07,0.78009,13.1,12.0,0.331,2.60941,3.87784
8.0494e-08,6.0725e-09,5.7126e-07,0.78009,13.1,36.0,0.331,2.60941,3.87784
8.7415e-08,5.6481e-09,5.4497e-07,0.78009,13.1,60.0,0.331,2.60941,3.87784
8.2716e-08,5.6772e-09,5.116e-07,0.78009,13.1,84.0,0.331,2.60941,3.87784
8.1597e-08,5.2984e-09,4.7703e-07,0.78009,13.1,108.0,0.331,2.60941,3.87784
6.6555e-08,4.45e-09,4.4719e-07,0.78009,13.1,132.0,0.331,2.60941,3.87784
6.3198e-08,4.3482e-09,4.2709e-07,0.78009,13.1,156.0,0.331,2.60941,3.87784
6.647e-08,4.9477e-09,4.2e-07,0.78009,13.1,180.0,0.331,2.60941,3.87784
6.5152e-08,4.3264e-09,4.2709e-07,0.78009,13.1,204.0,0.331,2.60941,3.87784
7.8102e-08,5.6288e-09,4.4719e-07,0.78009,13.1,228.0,0.331,2.60941,3.87784
9.3356e-08,6.0206e-09,4.7703e-07,0.78009,13.1,252.0,0.331,2.60941,3.87784
9.6553e-08,6.0231e-09,5.116e-07,0.78009,13.1,276.0,0.331,2.60941,3.87784
