Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
1.0208e-07,4.9395e-09,8.7289e-08,0.28688,5.68,12.0,0.198,2.67373,3.6168
9.1307e-08,4.6136e-09,8.4245e-08,0.28688,5.68,36.0,0.198,2.67373,3.6168
8.2932e-08,4.7692e-09,7.8698e-08,0.28688,5.68,60.0,0.198,2.67373,3.6168
6.8805e-08,4.2656e-09,7.163e-08,0.28688,5.68,84.0,0.198,2.67373,3.6168
6.4269e-08,3.8825e-09,6.4275e-08,0.28688,5.68,108.0,0.198,2.67373,3.6168
4.8617e-08,4.2547e-09,5.79e-08,0.28688,5.68,132.0,0.198,2.67373,3.6168
4.8041e-08,4.487e-09,5.359e-08,0.28688,5.68,156.0,0.198,2.67373,3.6168
5.3346e-08,4.7052e-09,5.2068e-08,0.28688,5.68,180.0,0.198,2.67373,3.6168
6.0305e-08,5.9366e-09,5.359e-08,0.28688,5.68,204.0,0.198,2.67373,3.6168
5.7776e-08,4.1933e-09,5.79e-08,0.28688,5.68,228.0,0.198,2.67373,3.6168
6.4452e-08,4.2239e-09,6.4275e-08,0.28688,5.68,252.0,0.198,2.67373,3.6168
6.7384e-08,3.9935e-09,7.163e-08,0.28688,5.68,276.0,0.198,2.67373,3.6168
7.3796e-08,4.6711e-09,7.8698e-08,0.28688,5.68,300.0,0.198,2.67373,3.6168
9.815e-08,5.2632e-09,8.4245e-08,0.28688,5.68,324.0,0.198,2.67373,3.6168
1.0281e-07,5.0132e-09,8.7289e-08,0.28688,5.68,348.0,0.198,2.67373,3.6168
1.1746e-07,5.7132e-09,1.3599e-07,0.2914,9.01,12.0,0.253,2.63597,3.77112
1.0637e-07,4.9634e-09,1.3091e-07,0.2914,9.01,36.0,0.253,2.63597,3.77112
1.0327e-07,4.9076e-09,1.2166e-07,0.2914,9.01,60.0,0.253,2.63597,3.77112
7.735e-08,4.4488e-09,1.0988e-07,0.2914,9.01,84.0,0.253,2.63597,3.77112
5.9039e-08,4.4563e-09,9.7641e-08,0.2914,9.01,108.0,0.253,2.63597,3.77112
6.2577e-08,4.6275e-09,8.7043e-08,0.2914,9.01,132.0,0.253,2.63597,3.77112
3.9332e-08,4.6947e-09,7.9883e-08,0.2914,9.01,156.0,0.253,2.63597,3.77112
5.1771e-08,5.7138e-09,7.7356e-08,0.2914,9.01,180.0,0.253,2.63597,3.77112
5.5546e-08,4.8732e-09,7.9883e-08,0.2914,9.01,204.0,0.253,2.63597,3.77112
5.8114e-08,4.508e-09,8.7043e-08,0.2914,9.01,228.0,0.253,2.63597,3.77112
6.6055e-08,4.4424e-09,9.7641e-08,0.2914,9.01,252.0,0.253,2.63597,3.77112
