Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
1.0261e-07,6.8567e-09,3.2337e-07,0.77787,5.7,12.0,0.198,2.6741,3.61601
1.1214e-07,7.5329e-09,3.1904e-07,0.77787,5.7,36.0,0.198,2.6741,3.61601
1.3042e-07,8.7874e-09,3.1131e-07,0.77787,5.7,60.0,0.198,2.6741,3.61601
1.2213e-07,7.8663e-09,3.0176e-07,0.77787,5.7,84.0,0.198,2.6741,3.61601
1.2567e-07,8.0587e-09,2.9218e-07,0.77787,5.7,108.0,0.198,2.6741,3.61601
1.1374e-07,7.3285e-09,2.8418e-07,0.77787,5.7,132.0,0.198,2.6741,3.61601
1.2341e-07,7.4509e-09,2.7893e-07,0.77787,5.7,156.0,0.198,2.6741,3.61601
1.2149e-07,9.1641e-09,2.7711e-07,0.77787,5.7,180.0,0.198,2.6741,3.61601
1.2368e-07,7.2194e-09,2.7893e-07,0.77787,5.7,204.0,0.198,2.6741,3.61601
1.1965e-07,7.5905e-09,2.8418e-07,0.77787,5.7,228.0,0.198,2.6741,3.61601
1.2278e-07,7.9109e-09,2.9218e-07,0.77787,5.7,252.0,0.198,2.6741,3.61601
1.3351e-07,8.3974e-09,3.0176e-07,0.77787,5.7,276.0,0.198,2.6741,3.61601
1.2055e-07,9.038e-09,3.1131e-07,0.77787,5.7,300.0,0.198,2.6741,3.61601
1.3011e-07,8.2686e-09,3.1904e-07,0.77787,5.7,324.0,0.198,2.6741,3.61601
1.1945e-07,7.8537e-09,3.2337e-07,0.77787,5.7,348.0,0.198,2.6741,3.61601
5.7012e-08,5.7474e-09,2.589e-07,0.77924,9.04,12.0,0.254,2.63496,3.77492
7.7575e-08,5.4258e-09,2.5449e-07,0.77924,9.04,36.0,0.254,2.63496,3.77492
8.7617e-08,5.9984e-09,2.4637e-07,0.77924,9.04,60.0,0.254,2.63496,3.77492
7.8934e-08,6.7453e-09,2.3586e-07,0.77924,9.04,84.0,0.254,2.63496,3.77492
9.1e-08,6.3941e-09,2.2472e-07,0.77924,9.04,108.0,0.254,2.63496,3.77492
8.3719e-08,5.6527e-09,2.149e-07,0.77924,9.04,132.0,0.254,2.63496,3.77492
8.368e-08,5.5847e-09,2.0817e-07,0.77924,9.04,156.0,0.254,2.63496,3.77492
7.1678e-08,5.2121e-09,2.0577e-07,0.77924,9.04,180.0,0.254,2.63496,3.77492
7.3869e-08,5.2835e-09,2.0817e-07,0.77924,9.04,204.0,0.254,2.63496,3.77492
7.5341e-08,5.3396e-09,2.149e-07,0.77924,9.04,228.0,0.254,2.63496,3.77492
9.6873e-08,6.3602e-09,2.2472e-07,0.77924,9.04,252.0,0.254,2.63496,3.77492
9.1836e-08,8.2048e-09,2.3586e-07,0.77924,9.04,276.0,0.254,2.63496,3.77492
1.0282e-07,7.0943e-09,2.4637e-07,0.77924,9.04,300.0,0.254,2.63496,3.77492
7.507e-08,5.8943e-09,2.5449e-07,0.77924,9.04,324.0,0.254,2.63496,3.77492
6.9101e-08,5.3184e-09,2.589e-07,0.77924,9.04,348.0,0.254,2.63496,3.77492
7.2483e-08,5.3929e-09,2.2885e-07,0.77977,10.93,12.0,0.29,2.61804,3.8439
7.2723e-08,5.1905e-09,2.2478e-07,0.77977,10.93,36.0,0.29,2.61804,3.8439
8.2386e-08,5.2604e-09,2.1707e-07,0.77977,10.93,60.0,0.29,2.61804,3.8439
7.7362e-08,5.7387e-09,2.0665e-07,0.77977,10.93,84.0,0.29,2.61804,3.8439
7.8048e-08,5.3197e-09,1.9512e-07,0.77977,10.93,108.0,0.29,2.61804,3.8439
7.6215e-08,5.1633e-09,1.8454e-07,0.77977,10.93,132.0,0.29,2.61804,3.8439
6.8263e-08,4.684e-09,1.7707e-07,0.77977,10.93,156.0,0.29,2.61804,3.8439
5.9752e-08,5.1646e-09,1.7437e-07,0.77977,10.93,180.0,0.29,2.61804,3.8439
6.0926e-08,4.3575e-09,1.7707e-07,0.77977,10.93,204.0,0.29,2.61804,3.8439
7.1257e-08,4.8546e-09,1.8454e-07,0.77977,10.93,228.0,0.29,2.61804,3.8439
7.5021e-08,5.517e-09,1.9512e-07,0.77977,10.93,252.0,0.29,2.61804,3.8439
8.6664e-08,6.0971e-09,2.0665e-07,0.77977,10.93,276.0,0.29,2.61804,3.8439
7.1431e-08,4.7557e-09,2.1707e-07,0.77977,10.93,300.0,0.29,2.61804,3.8439
6.1259e-08,6.1402e-09,2.2478e-07,0.77977,10.93,324.0,0.29,2.61804,3.8439
7.3095e-08,5.7375e-09,2.2885e-07,0.77977,10.93,348.0,0.29,2.61804,3.8439
5.0978e-08,4.0486e-09,1.9708e-07,0.78017,13.03,12.0,0.331,2.60728,3.88624
6.1662e-08,4.6469e-09,1.9353e-07,0.78017,13.03,36.0,0.331,2.60728,3.88624
6.8558e-08,4.4718e-09,1.8649e-07,0.78017,13.03,60.0,0.331,2.60728,3.88624
6.4487e-08,4.4108e-09,1.764e-07,0.78017,13.03,84.0,0.331,2.60728,3.88624
6.556e-08,4.3374e-09,1.6457e-07,0.78017,13.03,108.0,0.331,2.60728,3.88624
5.4741e-08,3.6394e-09,1.5321e-07,0.78017,13.03,132.0,0.331,2.60728,3.88624
4.7015e-08,3.2866e-09,1.4492e-07,0.78017,13.03,156.0,0.331,2.60728,3.88624
4.8177e-08,3.6337e-09,1.4189e-07,0.78017,13.03,180.0,0.331,2.60728,3.88624
5.0877e-08,3.3946e-09,1.4492e-07,0.78017,13.03,204.0,0.331,2.60728,3.88624
5.9545e-08,4.3132e-09,1.5321e-07,0.78017,13.03,228.0,0.331,2.60728,3.88624
7.5604e-08,4.8875e-09,1.6457e-07,0.78017,13.03,252.0,0.331,2.60728,3.88624
7.3807e-08,4.6209e-09,1.764e-07,0.78017,13.03,276.0,0.331,2.60728,3.88624
6.9026e-08,4.5259e-09,1.8649e-07,0.78017,13.03,300.0,0.331,2.60728,3.88624
6.434e-08,4.7423e-09,1.9353e-07,0.78017,13.03,324.0,0.331,2.60728,3.88624
5.9321e-08,5.6871e-09,1.9708e-07,0.78017,13.03,348.0,0.331,2.60728,3.88624
3.689e-08,3.4264e-09,1.3827e-07,0.78025,17.36,12.0,0.427,2.59773,3.92866
5.1301e-08,3.0128e-09,1.362e-07,0.78025,17.36,36.0,0.427,2.59773,3.92866
5.6835e-08,2.9313e-09,1.3117e-07,0.78025,17.36,60.0,0.427,2.59773,3.92866
5.7021e-08,2.6217e-09,1.2236e-07,0.78025,17.36,84.0,0.427,2.59773,3.92866
5.0965e-08,2.4631e-09,1.1031e-07,0.78025,17.36,108.0,0.427,2.59773,3.92866
4.259e-08,2.0456e-09,9.7459e-08,0.78025,17.36,132.0,0.427,2.59773,3.92866
3.0208e-08,1.878e-09,8.7482e-08,0.78025,17.36,156.0,0.427,2.59773,3.92866
2.8455e-08,1.8844e-09,8.3711e-08,0.78025,17.36,180.0,0.427,2.59773,3.92866
3.553e-08,1.9879e-09,8.7482e-08,0.78025,17.36,204.0,0.427,2.59773,3.92866
3.9445e-08,1.9452e-09,9.7459e-08,0.78025,17.36,228.0,0.427,2.59773,3.92866
5.1805e-08,2.554e-09,1.1031e-07,0.78025,17.36,252.0,0.427,2.59773,3.92866
5.8517e-08,2.6852e-09,1.2236e-07,0.78025,17.36,276.0,0.427,2.59773,3.92866
5.5607e-08,2.8264e-09,1.3117e-07,0.78025,17.36,300.0,0.427,2.59773,3.92866
5.7712e-08,3.2948e-09,1.362e-07,0.78025,17.36,324.0,0.427,2.59773,3.92866
4.3978e-08,3.5223e-09,1.3827e-07,0.78025,17.36,348.0,0.427,2.59773,3.92866
