Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
9.9505e-08,9.5305e-09,9.2427e-08,0.28672,5.7,12.0,0.198,2.67407,3.61614
1.0266e-07,1.1656e-08,9.0246e-08,0.28672,5.7,36.0,0.198,2.67407,3.61614
8.725e-08,7.9631e-09,8.6329e-08,0.28672,5.7,60.0,0.198,2.67407,3.61614
8.0774e-08,6.667e-09,8.1441e-08,0.28672,5.7,84.0,0.198,2.67407,3.61614
6.7617e-08,5.604e-09,7.648e-08,0.28672,5.7,108.0,0.198,2.67407,3.61614
7.7347e-08,5.3926e-09,7.2286e-08,0.28672,5.7,132.0,0.198,2.67407,3.61614
7.5185e-08,5.2339e-09,6.9506e-08,0.28672,5.7,156.0,0.198,2.67407,3.61614
6.8383e-08,4.4809e-09,6.8535e-08,0.28672,5.7,180.0,0.198,2.67407,3.61614
7.7101e-08,4.8949e-09,6.9506e-08,0.28672,5.7,204.0,0.198,2.67407,3.61614
7.452e-08,5.2573e-09,7.2286e-08,0.28672,5.7,228.0,0.198,2.67407,3.61614
8.0196e-08,6.429e-09,7.648e-08,0.28672,5.7,252.0,0.198,2.67407,3.61614
8.1899e-08,6.7382e-09,8.1441e-08,0.28672,5.7,276.0,0.198,2.67407,3.61614
7.7279e-08,7.2707e-09,8.6329e-08,0.28672,5.7,300.0,0.198,2.67407,3.61614
8.0719e-08,8.6406e-09,9.0246e-08,0.28672,5.7,324.0,0.198,2.67407,3.61614
8.6818e-08,9.8979e-09,9.2427e-08,0.28672,5.7,348.0,0.198,2.67407,3.61614
7.5009e-08,9.2415e-09,8.423e-08,0.29155,9.04,12.0,0.254,2.63499,3.77487
8.5211e-08,8.4186e-09,8.1912e-08,0.29155,9.04,36.0,0.254,2.63499,3.77487
7.5525e-08,8.1924e-09,7.7654e-08,0.29155,9.04,60.0,0.254,2.63499,3.77487
7.2388e-08,6.1424e-09,7.2159e-08,0.29155,9.04,84.0,0.254,2.63499,3.77487
6.3477e-08,5.2255e-09,6.6359e-08,0.29155,9.04,108.0,0.254,2.63499,3.77487
6.6152e-08,4.0045e-09,6.1262e-08,0.29155,9.04,132.0,0.254,2.63499,3.77487
