Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
1.435e-07,1.2415e-08,1.2507e-07,0.77787,5.7,12.0,0.198,2.67407,3.61614
1.5073e-07,1.2835e-08,1.3521e-07,0.77787,5.7,36.0,0.198,2.67407,3.61614
1.4471e-07,1.2488e-08,1.3533e-07,0.77787,5.7,60.0,0.198,2.67407,3.61614
1.519e-07,1.2808e-08,1.3331e-07,0.77787,5.7,84.0,0.198,2.67407,3.61614
1.3715e-07,1.3485e-08,1.2859e-07,0.77787,5.7,108.0,0.198,2.67407,3.61614
1.3494e-07,1.3126e-08,1.2231e-07,0.77787,5.7,132.0,0.198,2.67407,3.61614
1.4781e-07,1.3538e-08,1.169e-07,0.77787,5.7,156.0,0.198,2.67407,3.61614
1.2244e-07,1.0301e-08,1.1476e-07,0.77787,5.7,180.0,0.198,2.67407,3.61614
1.1907e-07,1.0219e-08,1.169e-07,0.77787,5.7,204.0,0.198,2.67407,3.61614
1.2435e-07,1.1637e-08,1.2231e-07,0.77787,5.7,228.0,0.198,2.67407,3.61614
1.2242e-07,1.2297e-08,1.2859e-07,0.77787,5.7,252.0,0.198,2.67407,3.61614
1.3979e-07,1.2216e-08,1.3331e-07,0.77787,5.7,276.0,0.198,2.67407,3.61614
1.2594e-07,1.0675e-08,1.3533e-07,0.77787,5.7,300.0,0.198,2.67407,3.61614
1.4085e-07,1.2171e-08,1.3521e-07,0.77787,5.7,324.0,0.198,2.67407,3.61614
1.4977e-07,1.3018e-08,1.3452e-07,0.77787,5.7,348.0,0.198,2.67407,3.61614
1.0341e-07,9.8108e-09,1.0672e-07,0.77924,9.04,12.0,0.254,2.63499,3.77487
1.059e-07,9.9777e-09,1.0929e-07,0.77924,9.04,36.0,0.254,2.63499,3.77487
1.0221e-07,9.4177e-09,1.1126e-07,0.77924,9.04,60.0,0.254,2.63499,3.77487
1.149e-07,1.0853e-08,1.0999e-07,0.77924,9.04,84.0,0.254,2.63499,3.77487
1.1754e-07,1.1356e-08,1.0409e-07,0.77924,9.04,108.0,0.254,2.63499,3.77487
9.5122e-08,8.5557e-09,9.5143e-08,0.77924,9.04,132.0,0.254,2.63499,3.77487
7.1676e-08,6.5987e-09,8.7056e-08,0.77924,9.04,156.0,0.254,2.63499,3.77487
6.8367e-08,7.2618e-09,8.3805e-08,0.77924,9.04,180.0,0.254,2.63499,3.77487
6.1116e-08,6.6025e-09,8.7056e-08,0.77924,9.04,204.0,0.254,2.63499,3.77487
8.9678e-08,7.677e-09,9.5143e-08,0.77924,9.04,228.0,0.254,2.63499,3.77487
1.0171e-07,9.9004e-09,1.0409e-07,0.77924,9.04,252.0,0.254,2.63499,3.77487
9.7093e-08,9.4963e-09,1.0999e-07,0.77924,9.04,276.0,0.254,2.63499,3.77487
1.0699e-07,9.325e-09,1.1126e-07,0.77924,9.04,300.0,0.254,2.63499,3.77487
1.0886e-07,9.9662e-09,1.0929e-07,0.77924,9.04,324.0,0.254,2.63499,3.77487
1.0188e-07,9.5775e-09,1.071e-07,0.77924,9.04,348.0,0.254,2.63499,3.77487
8.5946e-08,8.2356e-09,9.3539e-08,0.77977,10.98,12.0,0.291,2.61756,3.84605
9.7259e-08,8.6337e-09,9.602e-08,0.77977,10.98,36.0,0.291,2.61756,3.84605
1.0286e-07,8.9421e-09,9.8874e-08,0.77977,10.98,60.0,0.291,2.61756,3.84605
9.657e-08,9.1115e-09,9.8147e-08,0.77977,10.98,84.0,0.291,2.61756,3.84605
9.6114e-08,8.2207e-09,9.2129e-08,0.77977,10.98,108.0,0.291,2.61756,3.84605
7.0397e-08,6.8858e-09,8.2511e-08,0.77977,10.98,132.0,0.291,2.61756,3.84605
6.7161e-08,6.9156e-09,7.366e-08,0.77977,10.98,156.0,0.291,2.61756,3.84605
6.3439e-08,6.2144e-09,7.008e-08,0.77977,10.98,180.0,0.291,2.61756,3.84605
7.3364e-08,7.693e-09,7.366e-08,0.77977,10.98,204.0,0.291,2.61756,3.84605
8.157e-08,6.9834e-09,8.2511e-08,0.77977,10.98,228.0,0.291,2.61756,3.84605
8.6701e-08,7.3071e-09,9.2129e-08,0.77977,10.98,252.0,0.291,2.61756,3.84605
9.292e-08,8.5176e-09,9.8147e-08,0.77977,10.98,276.0,0.291,2.61756,3.84605
1.0023e-07,8.4652e-09,9.8874e-08,0.77977,10.98,300.0,0.291,2.61756,3.84605
9.8577e-08,8.8313e-09,9.602e-08,0.77977,10.98,324.0,0.291,2.61756,3.84605
9.2928e-08,8.8134e-09,9.3188e-08,0.77977,10.98,348.0,0.291,2.61756,3.84605
8.3214e-08,8.0445e-09,8.0419e-08,0.78021,13.2,12.0,0.334,2.60706,3.88661
8.868e-08,7.8455e-09,8.3105e-08,0.78021,13.2,36.0,0.334,2.60706,3.88661
8.8667e-08,8.0151e-09,8.6644e-08,0.78021,13.2,60.0,0.334,2.60706,3.88661
9.7394e-08,8.4899e-09,8.6465e-08,0.78021,13.2,84.0,0.334,2.60706,3.88661
8.2171e-08,6.6594e-09,8.0622e-08,0.78021,13.2,108.0,0.334,2.60706,3.88661
6.5941e-08,5.9729e-09,7.0825e-08,0.78021,13.2,132.0,0.334,2.60706,3.88661
