Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
8.8839e-08,8.5087e-09,8.1592e-08,0.28672,5.7,12.0,0.198,2.67407,3.61614
9.7844e-08,1.1109e-08,8.525e-08,0.28672,5.7,36.0,0.198,2.67407,3.61614
8.579e-08,7.8296e-09,8.4844e-08,0.28672,5.7,60.0,0.198,2.67407,3.61614
8.2059e-08,6.7719e-09,8.3526e-08,0.28672,5.7,84.0,0.198,2.67407,3.61614
7.0939e-08,5.8761e-09,8.1187e-08,0.28672,5.7,108.0,0.198,2.67407,3.61614
8.2852e-08,5.7716e-09,7.835e-08,0.28672,5.7,132.0,0.198,2.67407,3.61614
8.2008e-08,5.7072e-09,7.6e-08,0.28672,5.7,156.0,0.198,2.67407,3.61614
7.4974e-08,4.9125e-09,7.5087e-08,0.28672,5.7,180.0,0.198,2.67407,3.61614
8.4106e-08,5.3377e-09,7.6e-08,0.28672,5.7,204.0,0.198,2.67407,3.61614
7.9932e-08,5.6355e-09,7.835e-08,0.28672,5.7,228.0,0.198,2.67407,3.61614
8.4064e-08,6.7349e-09,8.1187e-08,0.28672,5.7,252.0,0.198,2.67407,3.61614
8.3254e-08,6.8493e-09,8.3526e-08,0.28672,5.7,276.0,0.198,2.67407,3.61614
7.6034e-08,7.1532e-09,8.4844e-08,0.28672,5.7,300.0,0.198,2.67407,3.61614
7.6976e-08,8.2397e-09,8.525e-08,0.28672,5.7,324.0,0.198,2.67407,3.61614
8.1049e-08,9.24e-09,8.5239e-08,0.28672,5.7,348.0,0.198,2.67407,3.61614
6.7644e-08,8.3324e-09,7.3571e-08,0.29155,9.04,12.0,0.254,2.63499,3.77487
7.9694e-08,7.8726e-09,7.4856e-08,0.29155,9.04,36.0,0.254,2.63499,3.77487
7.3147e-08,7.9329e-09,7.5073e-08,0.29155,9.04,60.0,0.254,2.63499,3.77487
7.2267e-08,6.1319e-09,7.3929e-08,0.29155,9.04,84.0,0.254,2.63499,3.77487
6.5056e-08,5.3546e-09,7.1023e-08,0.29155,9.04,108.0,0.254,2.63499,3.77487
6.8925e-08,4.1726e-09,6.7069e-08,0.29155,9.04,132.0,0.254,2.63499,3.77487
6.3945e-08,4.2161e-09,6.3631e-08,0.29155,9.04,156.0,0.254,2.63499,3.77487
6.7054e-08,4.5378e-09,6.2269e-08,0.29155,9.04,180.0,0.254,2.63499,3.77487
6.7248e-08,4.1518e-09,6.3631e-08,0.29155,9.04,204.0,0.254,2.63499,3.77487
6.9544e-08,4.2567e-09,6.7069e-08,0.29155,9.04,228.0,0.254,2.63499,3.77487
8.0791e-08,5.512e-09,7.1023e-08,0.29155,9.04,252.0,0.254,2.63499,3.77487
6.2856e-08,5.4973e-09,7.3929e-08,0.29155,9.04,276.0,0.254,2.63499,3.77487
