Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
1.1355e-10,8.6688e-11,3.8495e-09,0.77793,5.68,12.0,0.198,2.67373,3.6168
7.9416e-10,2.9487e-10,3.7047e-09,0.77793,5.68,36.0,0.198,2.67373,3.6168
7.8688e-10,5.7021e-10,3.4368e-09,0.77793,5.68,60.0,0.198,2.67373,3.6168
1.2176e-09,6.0363e-10,3.0882e-09,0.77793,5.68,84.0,0.198,2.67373,3.6168
2.7833e-09,8.4034e-10,2.7164e-09,0.77793,5.68,108.0,0.198,2.67373,3.6168
2.2669e-10,1.7167e-10,2.3868e-09,0.77793,5.68,132.0,0.198,2.67373,3.6168
2.2355e-12,2.2399e-12,2.1599e-09,0.77793,5.68,156.0,0.198,2.67373,3.6168
9.758e-11,8.3682e-11,2.0791e-09,0.77793,5.68,180.0,0.198,2.67373,3.6168
3.446e-10,2.0084e-10,2.1599e-09,0.77793,5.68,204.0,0.198,2.67373,3.6168
4.4194e-11,4.3423e-11,2.3868e-09,0.77793,5.68,228.0,0.198,2.67373,3.6168
6.7405e-10,5.0959e-10,2.7164e-09,0.77793,5.68,252.0,0.198,2.67373,3.6168
1.576e-10,1.4041e-10,3.0882e-09,0.77793,5.68,276.0,0.198,2.67373,3.6168
1.8137e-10,1.6819e-10,3.4368e-09,0.77793,5.68,300.0,0.198,2.67373,3.6168
2.2606e-10,1.9016e-10,3.7047e-09,0.77793,5.68,324.0,0.198,2.67373,3.6168
2.5923e-10,1.9519e-10,3.8495e-09,0.77793,5.68,348.0,0.198,2.67373,3.6168
7.2911e-11,3.4747e-11,3.5711e-09,0.77919,9.01,12.0,0.253,2.63597,3.77112
5.3128e-11,2.8696e-11,3.4425e-09,0.77919,9.01,36.0,0.253,2.63597,3.77112
9.0076e-11,4.4369e-11,3.2012e-09,0.77919,9.01,60.0,0.253,2.63597,3.77112
3.7412e-10,1.3472e-10,2.8806e-09,0.77919,9.01,84.0,0.253,2.63597,3.77112
7.883e-11,4.7254e-11,2.5311e-09,0.77919,9.01,108.0,0.253,2.63597,3.77112
5.6241e-11,2.6615e-11,2.215e-09,0.77919,9.01,132.0,0.253,2.63597,3.77112
6.4759e-11,3.273e-11,1.9941e-09,0.77919,9.01,156.0,0.253,2.63597,3.77112
1.7042e-13,1.685e-13,1.9148e-09,0.77919,9.01,180.0,0.253,2.63597,3.77112
1.0569e-12,9.153e-13,1.9941e-09,0.77919,9.01,204.0,0.253,2.63597,3.77112
5.3679e-10,1.1977e-10,2.215e-09,0.77919,9.01,228.0,0.253,2.63597,3.77112
1.5139e-11,8.9957e-12,2.5311e-09,0.77919,9.01,252.0,0.253,2.63597,3.77112
3.8802e-10,1.5145e-10,2.8806e-09,0.77919,9.01,276.0,0.253,2.63597,3.77112
2.6717e-11,1.3772e-11,3.2012e-09,0.77919,9.01,300.0,0.253,2.63597,3.77112
2.6955e-12,2.1791e-12,3.4425e-09,0.77919,9.01,324.0,0.253,2.63597,3.77112
6.6779e-13,5.928e-13,3.5711e-09,0.77919,9.01,348.0,0.253,2.63597,3.77112
4.5715e-11,4.1769e-11,3.3189e-09,0.77971,10.95,12.0,0.289,2.62024,3.83474
6.6136e-11,3.683e-11,3.2127e-09,0.77971,10.95,36.0,0.289,2.62024,3.83474
8.682e-12,8.2996e-12,3.0104e-09,0.77971,10.95,60.0,0.289,2.62024,3.83474
8.5348e-11,4.6173e-11,2.736e-09,0.77971,10.95,84.0,0.289,2.62024,3.83474
2.0611e-12,2.0198e-12,2.4306e-09,0.77971,10.95,108.0,0.289,2.62024,3.83474
5.0257e-11,3.5583e-11,2.1491e-09,0.77971,10.95,132.0,0.289,2.62024,3.83474
1.6379e-11,1.2218e-11,1.9499e-09,0.77971,10.95,156.0,0.289,2.62024,3.83474
1.2296e-10,6.0164e-11,1.8778e-09,0.77971,10.95,180.0,0.289,2.62024,3.83474
3.0448e-11,2.0064e-11,1.9499e-09,0.77971,10.95,204.0,0.289,2.62024,3.83474
5.2929e-11,2.7649e-11,2.1491e-09,0.77971,10.95,228.0,0.289,2.62024,3.83474
1.5657e-10,1.0041e-10,2.4306e-09,0.77971,10.95,252.0,0.289,2.62024,3.83474
1.2354e-10,7.057e-11,2.736e-09,0.77971,10.95,276.0,0.289,2.62024,3.83474
1.3703e-11,1.1322e-11,3.0104e-09,0.77971,10.95,300.0,0.289,2.62024,3.83474
2.4836e-10,1.3946e-10,3.2127e-09,0.77971,10.95,324.0,0.289,2.62024,3.83474
5.1868e-11,3.1453e-11,3.3189e-09,0.77971,10.95,348.0,0.289,2.62024,3.83474
1.0976e-10,6.4249e-11,2.8884e-09,0.78009,13.1,12.0,0.331,2.60941,3.87784
1.0661e-12,1.0576e-12,2.8203e-09,0.78009,13.1,36.0,0.331,2.60941,3.87784
4.0416e-12,3.5958e-12,2.6854e-09,0.78009,13.1,60.0,0.331,2.60941,3.87784
1.1644e-12,1.1669e-12,2.4934e-09,0.78009,13.1,84.0,0.331,2.60941,3.87784
3.4038e-14,3.4038e-14,2.2692e-09,0.78009,13.1,108.0,0.331,2.60941,3.87784
7.3612e-12,5.5594e-12,2.0545e-09,0.78009,13.1,132.0,0.331,2.60941,3.87784
1.1594e-09,6.3476e-10,1.8984e-09,0.78009,13.1,156.0,0.331,2.60941,3.87784
3.0472e-12,2.5814e-12,1.8412e-09,0.78009,13.1,180.0,0.331,2.60941,3.87784
3.1864e-10,1.986e-10,1.8984e-09,0.78009,13.1,204.0,0.331,2.60941,3.87784
9.4246e-11,6.3658e-11,2.0545e-09,0.78009,13.1,228.0,0.331,2.60941,3.87784
1.5818e-09,6.185e-10,2.2692e-09,0.78009,13.1,252.0,0.331,2.60941,3.87784
1.325e-11,9.7941e-12,2.4934e-09,0.78009,13.1,276.0,0.331,2.60941,3.87784
1.9034e-10,1.2616e-10,2.6854e-09,0.78009,13.1,300.0,0.331,2.60941,3.87784
7.6347e-10,3.9909e-10,2.8203e-09,0.78009,13.1,324.0,0.331,2.60941,3.87784
4.5375e-10,2.3066e-10,2.8884e-09,0.78009,13.1,348.0,0.331,2.60941,3.87784
5.5217e-10,3.5591e-10,2.2828e-09,0.78016,17.42,12.0,0.427,2.60025,3.91888
3.8429e-10,2.1054e-10,2.2887e-09,0.78016,17.42,36.0,0.427,2.60025,3.91888
8.1335e-12,8.0398e-12,2.2853e-09,0.78016,17.42,60.0,0.427,2.60025,3.91888
6.9547e-10,4.1039e-10,2.2541e-09,0.78016,17.42,84.0,0.427,2.60025,3.91888
6.6768e-13,6.6768e-13,2.1891e-09,0.78016,17.42,108.0,0.427,2.60025,3.91888
7.3548e-10,4.066e-10,2.1057e-09,0.78016,17.42,132.0,0.427,2.60025,3.91888
3.6972e-09,1.1104e-09,2.0348e-09,0.78016,17.42,156.0,0.427,2.60025,3.91888
7.7151e-10,4.292e-10,2.0069e-09,0.78016,17.42,180.0,0.427,2.60025,3.91888
7.1419e-10,4.9449e-10,2.0348e-09,0.78016,17.42,204.0,0.427,2.60025,3.91888
3.7257e-10,2.1838e-10,2.1057e-09,0.78016,17.42,228.0,0.427,2.60025,3.91888
1.6707e-11,1.6123e-11,2.1891e-09,0.78016,17.42,252.0,0.427,2.60025,3.91888
3.935e-09,2.0409e-09,2.2541e-09,0.78016,17.42,276.0,0.427,2.60025,3.91888
2.9192e-10,1.6449e-10,2.2853e-09,0.78016,17.42,300.0,0.427,2.60025,3.91888
1.315e-09,7.5698e-10,2.2887e-09,0.78016,17.42,324.0,0.427,2.60025,3.91888
6.7506e-10,4.2092e-10,2.2828e-09,0.78016,17.42,348.0,0.427,2.60025,3.91888
