Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
4.7741e-12,4.1298e-12,2.1991e-09,0.28688,5.68,12.0,0.198,2.67373,3.6168
2.2719e-10,1.2582e-10,2.1233e-09,0.28688,5.68,36.0,0.198,2.67373,3.6168
3.9672e-15,3.9672e-15,1.9836e-09,0.28688,5.68,60.0,0.198,2.67373,3.6168
3.7868e-10,2.2917e-10,1.8027e-09,0.28688,5.68,84.0,0.198,2.67373,3.6168
0.0,-1000.0,1.6109e-09,0.28688,5.68,108.0,0.198,2.67373,3.6168
4.8097e-12,4.4838e-12,1.4417e-09,0.28688,5.68,132.0,0.198,2.67373,3.6168
1.4311e-11,1.2103e-11,1.3258e-09,0.28688,5.68,156.0,0.198,2.67373,3.6168
2.6752e-10,1.228e-10,1.2845e-09,0.28688,5.68,180.0,0.198,2.67373,3.6168
9.0484e-11,5.7233e-11,1.3258e-09,0.28688,5.68,204.0,0.198,2.67373,3.6168
9.738e-11,5.8412e-11,1.4417e-09,0.28688,5.68,228.0,0.198,2.67373,3.6168
5.2641e-10,2.6633e-10,1.6109e-09,0.28688,5.68,252.0,0.198,2.67373,3.6168
3.4964e-11,3.0111e-11,1.8027e-09,0.28688,5.68,276.0,0.198,2.67373,3.6168
3.5249e-11,2.8255e-11,1.9836e-09,0.28688,5.68,300.0,0.198,2.67373,3.6168
2.3328e-11,1.7708e-11,2.1233e-09,0.28688,5.68,324.0,0.198,2.67373,3.6168
1.4637e-11,1.2458e-11,2.1991e-09,0.28688,5.68,348.0,0.198,2.67373,3.6168
1.722e-11,6.3208e-12,2.4643e-09,0.2914,9.01,12.0,0.253,2.63597,3.77112
4.7165e-12,2.1463e-12,2.3954e-09,0.2914,9.01,36.0,0.253,2.63597,3.77112
0.0,-1000.0,2.2671e-09,0.2914,9.01,60.0,0.253,2.63597,3.77112
1.0191e-11,5.0975e-12,2.0986e-09,0.2914,9.01,84.0,0.253,2.63597,3.77112
5.7167e-12,3.0021e-12,1.9171e-09,0.2914,9.01,108.0,0.253,2.63597,3.77112
1.9686e-12,1.6984e-12,1.7546e-09,0.2914,9.01,132.0,0.253,2.63597,3.77112
1.7224e-12,1.4695e-12,1.6419e-09,0.2914,9.01,156.0,0.253,2.63597,3.77112
2.9005e-12,2.444e-12,1.6016e-09,0.2914,9.01,180.0,0.253,2.63597,3.77112
7.3508e-12,5.103e-12,1.6419e-09,0.2914,9.01,204.0,0.253,2.63597,3.77112
8.9079e-12,6.5147e-12,1.7546e-09,0.2914,9.01,228.0,0.253,2.63597,3.77112
2.9101e-12,2.567e-12,1.9171e-09,0.2914,9.01,252.0,0.253,2.63597,3.77112
1.8678e-13,1.553e-13,2.0986e-09,0.2914,9.01,276.0,0.253,2.63597,3.77112
3.7952e-12,1.8046e-12,2.2671e-09,0.2914,9.01,300.0,0.253,2.63597,3.77112
4.2638e-13,3.7128e-13,2.3954e-09,0.2914,9.01,324.0,0.253,2.63597,3.77112
3.1363e-11,8.8787e-12,2.4643e-09,0.2914,9.01,348.0,0.253,2.63597,3.77112
0.0,-1000.0,2.505e-09,0.29325,10.95,12.0,0.289,2.62024,3.83474
2.2023e-13,1.9331e-13,2.447e-09,0.29325,10.95,36.0,0.289,2.62024,3.83474
1.8687e-11,1.0416e-11,2.338e-09,0.29325,10.95,60.0,0.289,2.62024,3.83474
9.7439e-12,8.3209e-12,2.1926e-09,0.29325,10.95,84.0,0.289,2.62024,3.83474
