Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
7.4301e-08,3.6021e-09,8.1649e-08,0.28688,5.68,12.0,0.198,2.67373,3.6168
7.4239e-08,3.766e-09,8.53e-08,0.28688,5.68,36.0,0.198,2.67373,3.6168
7.704e-08,4.4395e-09,8.4893e-08,0.28688,5.68,60.0,0.198,2.67373,3.6168
7.2683e-08,4.5091e-09,8.3576e-08,0.28688,5.68,84.0,0.198,2.67373,3.6168
7.7399e-08,4.6777e-09,8.1242e-08,0.28688,5.68,108.0,0.198,2.67373,3.6168
6.5068e-08,5.6924e-09,7.8414e-08,0.28688,5.68,132.0,0.198,2.67373,3.6168
6.8272e-08,6.3735e-09,7.6072e-08,0.28688,5.68,156.0,0.198,2.67373,3.6168
7.9731e-08,7.0311e-09,7.5162e-08,0.28688,5.68,180.0,0.198,2.67373,3.6168
8.713e-08,8.5744e-09,7.6072e-08,0.28688,5.68,204.0,0.198,2.67373,3.6168
7.8113e-08,5.667e-09,7.8414e-08,0.28688,5.68,228.0,0.198,2.67373,3.6168
7.7858e-08,5.101e-09,8.1242e-08,0.28688,5.68,252.0,0.198,2.67373,3.6168
7.0896e-08,4.212e-09,8.3576e-08,0.28688,5.68,276.0,0.198,2.67373,3.6168
6.7802e-08,4.3087e-09,8.4893e-08,0.28688,5.68,300.0,0.198,2.67373,3.6168
8.0064e-08,4.3024e-09,8.53e-08,0.28688,5.68,324.0,0.198,2.67373,3.6168
7.8717e-08,3.8328e-09,8.5292e-08,0.28688,5.68,348.0,0.198,2.67373,3.6168
7.4405e-08,3.6076e-09,7.3706e-08,0.2914,9.01,12.0,0.253,2.63597,3.77112
7.1813e-08,3.3555e-09,7.4989e-08,0.2914,9.01,36.0,0.253,2.63597,3.77112
7.8875e-08,3.7605e-09,7.52e-08,0.2914,9.01,60.0,0.253,2.63597,3.77112
7.1113e-08,4.0959e-09,7.405e-08,0.2914,9.01,84.0,0.253,2.63597,3.77112
6.1261e-08,4.6233e-09,7.1143e-08,0.2914,9.01,108.0,0.253,2.63597,3.77112
7.4233e-08,5.4901e-09,6.7192e-08,0.2914,9.01,132.0,0.253,2.63597,3.77112
4.8731e-08,5.8251e-09,6.3757e-08,0.2914,9.01,156.0,0.253,2.63597,3.77112
6.5314e-08,7.2202e-09,6.2397e-08,0.2914,9.01,180.0,0.253,2.63597,3.77112
6.9253e-08,6.084e-09,6.3757e-08,0.2914,9.01,204.0,0.253,2.63597,3.77112
6.8397e-08,5.3054e-09,6.7192e-08,0.2914,9.01,228.0,0.253,2.63597,3.77112
6.8788e-08,4.633e-09,7.1143e-08,0.2914,9.01,252.0,0.253,2.63597,3.77112
5.9455e-08,3.7974e-09,7.405e-08,0.2914,9.01,276.0,0.253,2.63597,3.77112
6.6974e-08,3.3575e-09,7.52e-08,0.2914,9.01,300.0,0.253,2.63597,3.77112
7.4066e-08,3.821e-09,7.4989e-08,0.2914,9.01,324.0,0.253,2.63597,3.77112
6.9606e-08,3.6716e-09,7.4462e-08,0.2914,9.01,348.0,0.253,2.63597,3.77112
6.8149e-08,3.3979e-09,6.8089e-08,0.29325,10.95,12.0,0.289,2.62024,3.83474
6.8497e-08,3.3932e-09,6.9034e-08,0.29325,10.95,36.0,0.289,2.62024,3.83474
6.0501e-08,2.9717e-09,6.9596e-08,0.29325,10.95,60.0,0.289,2.62024,3.83474
6.7732e-08,3.5806e-09,6.8656e-08,0.29325,10.95,84.0,0.289,2.62024,3.83474
6.3344e-08,4.0532e-09,6.5682e-08,0.29325,10.95,108.0,0.289,2.62024,3.83474
6.0775e-08,4.6697e-09,6.1433e-08,0.29325,10.95,132.0,0.289,2.62024,3.83474
5.0726e-08,5.3693e-09,5.767e-08,0.29325,10.95,156.0,0.289,2.62024,3.83474
4.7479e-08,5.711e-09,5.6168e-08,0.29325,10.95,180.0,0.289,2.62024,3.83474
5.1929e-08,5.0671e-09,5.767e-08,0.29325,10.95,204.0,0.289,2.62024,3.83474
5.3951e-08,4.3294e-09,6.1433e-08,0.29325,10.95,228.0,0.289,2.62024,3.83474
5.9387e-08,3.9697e-09,6.5682e-08,0.29325,10.95,252.0,0.289,2.62024,3.83474
5.9855e-08,4.5198e-09,6.8656e-08,0.29325,10.95,276.0,0.289,2.62024,3.83474
6.0145e-08,2.9662e-09,6.9596e-08,0.29325,10.95,300.0,0.289,2.62024,3.83474
5.5046e-08,3.0042e-09,6.9034e-08,0.29325,10.95,324.0,0.289,2.62024,3.83474
6.5919e-08,3.4201e-09,6.8245e-08,0.29325,10.95,348.0,0.289,2.62024,3.83474
6.3693e-08,3.0611e-09,6.1684e-08,0.2946,13.1,12.0,0.331,2.60941,3.87784
7.4023e-08,5.0257e-09,6.269e-08,0.2946,13.1,36.0,0.331,2.60941,3.87784
6.018e-08,3.1984e-09,6.354e-08,0.2946,13.1,60.0,0.331,2.60941,3.87784
5.9972e-08,3.8723e-09,6.2842e-08,0.2946,13.1,84.0,0.331,2.60941,3.87784
5.1286e-08,3.9655e-09,5.9965e-08,0.2946,13.1,108.0,0.331,2.60941,3.87784
5.5739e-08,5.7642e-09,5.5674e-08,0.2946,13.1,132.0,0.331,2.60941,3.87784
3.7813e-08,5.1322e-09,5.1813e-08,0.2946,13.1,156.0,0.331,2.60941,3.87784
6.2229e-08,7.6605e-09,5.0264e-08,0.2946,13.1,180.0,0.331,2.60941,3.87784
4.7648e-08,5.7169e-09,5.1813e-08,0.2946,13.1,204.0,0.331,2.60941,3.87784
5.5391e-08,4.6676e-09,5.5674e-08,0.2946,13.1,228.0,0.331,2.60941,3.87784
5.2521e-08,4.7786e-09,5.9965e-08,0.2946,13.1,252.0,0.331,2.60941,3.87784
5.5301e-08,3.3527e-09,6.2842e-08,0.2946,13.1,276.0,0.331,2.60941,3.87784
5.736e-08,3.3353e-09,6.354e-08,0.2946,13.1,300.0,0.331,2.60941,3.87784
